pair_id,actor_id,actor_name,topic_similarity,gap_publication_days,temporal_order_verified,date_basis,candidate_method,source_dataset_a,hearing_id_a,hearing_date_a,publication_date_a,topic_a,text_a,text_kind_a,proposition_silver_a,stance_silver_a,evidence_a,evidence_status_a,source_actor_index_a,source_opinion_index_a,source_dataset_b,hearing_id_b,hearing_date_b,publication_date_b,topic_b,text_b,text_kind_b,proposition_silver_b,stance_silver_b,evidence_b,evidence_status_b,source_actor_index_b,source_opinion_index_b
d4e87de87b4f3431,adriana ventura,Adriana Ventura,0.172702,118,false,article_publication_only,topic_tfidf_cosine,PublicHearingBR_LDS.jsonl,199,,2023-08-09,Autossuficiência na produção de insumos para a saúde e questões relacionadas à compra emergencial de medicamentos pelo SUS,"Questionou a qualidade da insulina adquirida de uma empresa chinesa que não tem registro junto à Anvisa: ""Em que pese a escassez do produto, causou estranheza essa empresa ter um preço significativamente inferior ao de mercado.""",LDS_opinion_summary_not_verbatim_speech,A ausência de autossuficiência na produção de insumos de saúde coloca o S,ERRO API,,not_verified_in_transcript,1,0,PublicHearingBR_LDS.jsonl,16,,2023-12-05,Debate sobre denúncias envolvendo o custeio de viagem de Luciane Barbosa Farias e questões relacionadas aos direitos humanos,"""Ela é esposa de líder do Comando Vermelho, condenada em segunda instância por organização criminosa, associação para o tráfico e lavagem de dinheiro. Nos causou muito desconforto, principalmente porque houve audiência com servidores e o ministério pagou diárias e viagens. Nós fizemos requerimento de informação, denúncia na Comissão de Ética Pública e projeto de lei para que a não publicização de agenda e compromisso seja configurada como improbidade administrativa.""",LDS_opinion_summary_not_verbatim_speech,"O Ministério dos Direitos Humanos custeou diárias e passagens para Luciane Barbosa Farias, esposa de líder do Comando Vermelho, gerando acusação de irregularidade e possível improbidade administrativa. | A oposição utiliza as denúncias sobre o custeio",A FAVOR | NEUTRO,,not_verified_in_transcript,1,0
8b9017a72effb414,alexandre da silva,Alexandre da Silva,0.133606,41,false,article_publication_only,topic_tfidf_cosine,PublicHearingBR_LDS.jsonl,52,,2023-05-18,Discussão sobre o preconceito contra idosos e medidas para combatê-lo,"Exemplificou os diversos tipos de idadismo: estrutural, cultural e internalizado.",LDS_opinion_summary_not_verbatim_speech,"A sociedade trata os idosos como descartáveis, como evidenciado nas declarações durante a pandemia que rotularam os velhos como um fardo. | O preconceito age dentro de casa, levando familiares a praticar discriminação contra os idosos. | A pressão social para controlar o comportamento do idoso é inaceitável e precisa ser combatida.",ERRO API,,not_verified_in_transcript,2,0,PublicHearingBR_LDS.jsonl,41,,2023-06-28,Aprovação da Convenção Interamericana sobre a Proteção dos Direitos Humanos dos Idosos,Lembrou que tratados relativos a pessoas com deficiência e contra o racismo foram aprovados de maneira qualificada.,LDS_opinion_summary_not_verbatim_speech,"A ratificação da Convenção Interamericana sobre a Proteção dos Direitos Humanos dos Idosos deve ocorrer antes de outubro para celebrar os 20 anos do Estatuto da Pessoa Idosa. | O Brasil, apesar de ter sido um dos primeiros a assinar a convenção, ainda não a ratificou, o que é constrangedor e indica atraso legislativo. | A convenção introduz direitos e conceitos inexistentes na legislação brasileira, exigindo uma mudança de paradigma no tratamento à população idosa.",ERRO API,,not_verified_in_transcript,0,0
370ab0f946469bab,alexandre da silva,Alexandre da Silva,0.123683,140,false,article_publication_only,topic_tfidf_cosine,PublicHearingBR_LDS.jsonl,52,,2023-05-18,Discussão sobre o preconceito contra idosos e medidas para combatê-lo,Idadismo cultural ocorre quando quem é velho é sempre tido como ultrapassado.,LDS_opinion_summary_not_verbatim_speech,"A sociedade trata os idosos como descartáveis, como evidenciado nas declarações durante a pandemia que rotularam os velhos como um fardo. | O preconceito age dentro de casa, levando familiares a praticar discriminação contra os idosos. | A pressão social para controlar o comportamento do idoso é inaceitável e precisa ser combatida.",ERRO API,,not_verified_in_transcript,2,2,PublicHearingBR_LDS.jsonl,155,,2023-10-05,Consolidação de políticas públicas para idosos no contexto dos 20 anos do Estatuto do Idoso,"Apontou a relevância do trabalho e da aposentadoria como papel social e citou a discriminação quanto à idade, chamada de idadismo, etarismo ou ageísmo, como uma barreira: ""Os espaços onde as pessoas idosas possam ocupar, a forma como elas podem desenvolver a sua cidadania é, sim, muito marcada por essa discriminação que as afeta constantemente. E isso vai gerando inseguranças e um cenário muito ruim. A gente vê, infelizmente, algumas flexibilizações das leis trabalhistas que as deixam mais inseguras de poder ter uma aposentadoria, ter uma pensão.""",LDS_opinion_summary_not_verbatim_speech,"O Estatuto do Idoso ainda é pouco conhecido e suas determinações legais são frequentemente descumpridas. | O Estatuto garante direitos concretos, como acompanhante em tempo integral em hospitais, proteção contra aumentos abusivos em planos de saúde e cotas em programas habitacionais. | O etarismo, ou discriminação por idade, impede a cidadania plena e a segurança nas aposentadorias e no mercado",A FAVOR | NEUTRO,,not_verified_in_transcript,3,0
6f4c69138a2e803b,alexandre da silva,Alexandre da Silva,0.104432,99,false,article_publication_only,topic_tfidf_cosine,PublicHearingBR_LDS.jsonl,41,,2023-06-28,Aprovação da Convenção Interamericana sobre a Proteção dos Direitos Humanos dos Idosos,Lembrou que tratados relativos a pessoas com deficiência e contra o racismo foram aprovados de maneira qualificada.,LDS_opinion_summary_not_verbatim_speech,"A ratificação da Convenção Interamericana sobre a Proteção dos Direitos Humanos dos Idosos deve ocorrer antes de outubro para celebrar os 20 anos do Estatuto da Pessoa Idosa. | O Brasil, apesar de ter sido um dos primeiros a assinar a convenção, ainda não a ratificou, o que é constrangedor e indica atraso legislativo. | A convenção introduz direitos e conceitos inexistentes na legislação brasileira, exigindo uma mudança de paradigma no tratamento à população idosa.",ERRO API,,not_verified_in_transcript,0,0,PublicHearingBR_LDS.jsonl,155,,2023-10-05,Consolidação de políticas públicas para idosos no contexto dos 20 anos do Estatuto do Idoso,"Apontou a relevância do trabalho e da aposentadoria como papel social e citou a discriminação quanto à idade, chamada de idadismo, etarismo ou ageísmo, como uma barreira: ""Os espaços onde as pessoas idosas possam ocupar, a forma como elas podem desenvolver a sua cidadania é, sim, muito marcada por essa discriminação que as afeta constantemente. E isso vai gerando inseguranças e um cenário muito ruim. A gente vê, infelizmente, algumas flexibilizações das leis trabalhistas que as deixam mais inseguras de poder ter uma aposentadoria, ter uma pensão.""",LDS_opinion_summary_not_verbatim_speech,"O Estatuto do Idoso ainda é pouco conhecido e suas determinações legais são frequentemente descumpridas. | O Estatuto garante direitos concretos, como acompanhante em tempo integral em hospitais, proteção contra aumentos abusivos em planos de saúde e cotas em programas habitacionais. | O etarismo, ou discriminação por idade, impede a cidadania plena e a segurança nas aposentadorias e no mercado",A FAVOR | NEUTRO,,not_verified_in_transcript,3,0
263f772b51bf1354,alexandre da silva,Alexandre da Silva,0.142105,173,false,article_publication_only,topic_tfidf_cosine,PublicHearingBR_LDS.jsonl,149,,2023-10-19,Mudança demográfica e a necessidade de reestruturação do Estado para atender ao envelhecimento da população brasileira,"A grande diversidade social e do perfil da população entre as diferentes regiões brasileiras representa mais um desafio no planejamento das políticas públicas: ""O planejamento para o envelhecimento da região Sul, por exemplo, precisa ser diferente da região Norte. Temos que considerar as desigualdades, que vão se perpetuando, acumulando, se agravando e também chegando às idades mais avançadas, ao ponto de garantir ou não que grupo social vai ou não envelhecer e com qual condição de vida.""",LDS_opinion_summary_not_verbatim_speech,"O Estado brasileiro precisa se reorganizar para atender ao envelhecimento da população e garantir serviços de saúde, moradia e cuidados aos idosos. | O envelhecimento da população ameaça a sustentabilidade da Previdência, com risco de déficit devido à redução da razão entre trabalhadores e aposentados. | As desigualdades regionais exigem planos de envelhecimento diferentes para cada região do Brasil.",A FAVOR | NEUTRO,,not_verified_in_transcript,2,0,PublicHearingBR_LDS.jsonl,110,,2024-04-09,Prioridade para a agenda do envelhecimento saudável no G20,"""A gente tem que cada vez mais aprimorar as nossas ações para que as pessoas idosas possam usufruir melhor das condições de vida. Construir também linhas de cuidado a partir das particularidades dos diversos grupos.""",LDS_opinion_summary_not_verbatim_speech,O envelhecimento ativo e saud,A FAVOR,,not_verified_in_transcript,3,1
62551a12ba0d40a1,alexandre lindenmeyer,Alexandre Lindenmeyer,0.136235,49,false,article_publication_only,topic_tfidf_cosine,PublicHearingBR_LDS.jsonl,149,,2023-10-19,Mudança demográfica e a necessidade de reestruturação do Estado para atender ao envelhecimento da população brasileira,"Preocupação com os recentes dados demográficos brasileiros que projetam para o ano de 2060 uma proporção de uma pessoa idosa (acima de 60 anos) para 1,6 pessoa na faixa de idade entre 14 e 59 anos: ""É importante que o Estado brasileiro se prepare, com ações de curto, médio e longo prazos, para uma outra realidade demográfica, com a diminuição da natalidade e o aumento da população idosa.""",LDS_opinion_summary_not_verbatim_speech,"O Estado brasileiro precisa se reorganizar para atender ao envelhecimento da população e garantir serviços de saúde, moradia e cuidados aos idosos. | O envelhecimento da população ameaça a sustentabilidade da Previdência, com risco de déficit devido à redução da razão entre trabalhadores e aposentados. | As desigualdades regionais exigem planos de envelhecimento diferentes para cada região do Brasil.",A FAVOR | NEUTRO,,not_verified_in_transcript,0,0,PublicHearingBR_LDS.jsonl,120,,2023-12-07,Precarização do trabalho na mineração brasileira,"Lamentou a ausência de representantes das mineradoras que foram convidados para a audiência, mas não compareceram: ""Diante do contexto, nós não temos a participação do outro lado. É um tema que, por vezes, passa à margem do conhecimento da ampla maioria do povo brasileiro, mas é um tema recorrente para quem está vivendo na pele as suas dores e as suas perdas.""",LDS_opinion_summary_not_verbatim_speech,"A legislação atual é considerada obsoleta e insuficiente para controlar os fatores de risco na mineração, exigindo uma reforma moderna. | A terceirização e a ausência de representantes das mineradoras na audiência evidenciam a precarização e a falta de responsabilidade social no setor. | A exigência de idade mínima de 55 anos para aposentadoria especial, imposta pela EC 103, gera questionamento sobre a viabilidade de qualidade de vida pós‑trabalho para os mineradores.",ERRO API,,not_verified_in_transcript,4,0
8f79764e69daadf2,alexandre lindenmeyer,Alexandre Lindenmeyer,0.142105,173,false,article_publication_only,topic_tfidf_cosine,PublicHearingBR_LDS.jsonl,149,,2023-10-19,Mudança demográfica e a necessidade de reestruturação do Estado para atender ao envelhecimento da população brasileira,"Preocupação com os recentes dados demográficos brasileiros que projetam para o ano de 2060 uma proporção de uma pessoa idosa (acima de 60 anos) para 1,6 pessoa na faixa de idade entre 14 e 59 anos: ""É importante que o Estado brasileiro se prepare, com ações de curto, médio e longo prazos, para uma outra realidade demográfica, com a diminuição da natalidade e o aumento da população idosa.""",LDS_opinion_summary_not_verbatim_speech,"O Estado brasileiro precisa se reorganizar para atender ao envelhecimento da população e garantir serviços de saúde, moradia e cuidados aos idosos. | O envelhecimento da população ameaça a sustentabilidade da Previdência, com risco de déficit devido à redução da razão entre trabalhadores e aposentados. | As desigualdades regionais exigem planos de envelhecimento diferentes para cada região do Brasil.",A FAVOR | NEUTRO,,not_verified_in_transcript,0,0,PublicHearingBR_LDS.jsonl,110,,2024-04-09,Prioridade para a agenda do envelhecimento saudável no G20,A pauta do envelhecimento saudável não é exclusiva do Brasil.,LDS_opinion_summary_not_verbatim_speech,O envelhecimento ativo e saud,NEUTRO,,not_verified_in_transcript,1,0
0138e27cd0f53d95,aliel machado,Aliel Machado,0.104432,99,false,article_publication_only,topic_tfidf_cosine,PublicHearingBR_LDS.jsonl,41,,2023-06-28,Aprovação da Convenção Interamericana sobre a Proteção dos Direitos Humanos dos Idosos,"Considera constrangedor que o projeto ainda não tenha sido aprovado: ""Nós estamos agora em um processo de articulação para a aprovação dessa que é uma necessidade para o nosso país, e nos constrange ter isso na pauta há tanto tempo e ainda não termos conseguido. Já me reuni com o presidente desta Casa, que se comprometeu em nos ajudar a pautar a matéria.""",LDS_opinion_summary_not_verbatim_speech,"A ratificação da Convenção Interamericana sobre a Proteção dos Direitos Humanos dos Idosos deve ocorrer antes de outubro para celebrar os 20 anos do Estatuto da Pessoa Idosa. | O Brasil, apesar de ter sido um dos primeiros a assinar a convenção, ainda não a ratificou, o que é constrangedor e indica atraso legislativo. | A convenção introduz direitos e conceitos inexistentes na legislação brasileira, exigindo uma mudança de paradigma no tratamento à população idosa.",ERRO API,,not_verified_in_transcript,1,0,PublicHearingBR_LDS.jsonl,155,,2023-10-05,Consolidação de políticas públicas para idosos no contexto dos 20 anos do Estatuto do Idoso,Lamentou que o Estatuto do Idoso ainda seja pouco conhecido e tenha determinações legais desobedecidas.,LDS_opinion_summary_not_verbatim_speech,"O Estatuto do Idoso ainda é pouco conhecido e suas determinações legais são frequentemente descumpridas. | O Estatuto garante direitos concretos, como acompanhante em tempo integral em hospitais, proteção contra aumentos abusivos em planos de saúde e cotas em programas habitacionais. | O etarismo, ou discriminação por idade, impede a cidadania plena e a segurança nas aposentadorias e no mercado",A FAVOR | CONTRA,,not_verified_in_transcript,0,0
af4d70f0c140e9c9,ana paula lima,Ana Paula Lima,0.197176,215,false,article_publication_only,topic_tfidf_cosine,PublicHearingBR_LDS.jsonl,57,,2023-04-20,Discussão sobre a eficácia de guardas armados e medidas de segurança nas escolas para combater a violência,"O aumento da violência nas escolas é reflexo do ambiente político vigente no Brasil nos últimos anos: ""O que a gente podia esperar se tivemos personalidades políticas que incitavam o ódio e a violência, faziam 'arminha'? Até hoje parlamentares desta Casa tiram foto com metralhadora empunhada, disseminando o ódio e a violência.""",LDS_opinion_summary_not_verbatim_speech,"A presença de guardas armados nas escolas não resolve a violência escolar e pode agravar o problema. | A violência nas escolas reflete a cultura de ódio e a retórica política que incita violência no Brasil. | Um ambiente escolar democrático e saudável é a prevenção mais eficaz, em vez de medidas de segurança armadas.",ERRO API,,not_verified_in_transcript,4,0,PublicHearingBR_LDS.jsonl,30,,2023-11-21,Inclusão de emendas na LDO para combater violência contra crianças e adolescentes,As cinco emendas no projeto de Lei de Diretrizes Orçamentárias (LDO) de 2024 para combater a violência contra crianças e adolescentes foram aceitas pelo relator da LDO.,LDS_opinion_summary_not_verbatim_speech,A inclusão de emendas na LDO para combater violência contra crianças e adolescentes deve,A FAVOR,,not_verified_in_transcript,0,0
2e42e8583aea6939,antonio brito,Antonio Brito,0.279901,105,false,article_publication_only,topic_tfidf_cosine,PublicHearingBR_LDS.jsonl,123,,2023-12-05,Aumento de orçamento para combater a tuberculose no Brasil,Ressaltou que o Brasil registra mais de 80 mil casos de tuberculose por ano.,LDS_opinion_summary_not_verbatim_speech,"O orçamento atual de apenas R$ 14 milhões para o combate à tuberculose é insuficiente e deve ser ampliado. | A luta contra a tuberculose exige ações que vão além do financiamento, como o combate à pobreza e a oferta de transporte e alimentação gratuitos para garantir a adesão ao tratamento. | O Brasil precisa alcançar menos de 10 casos por 100 mil habitantes até 2030, o que requer um orçamento de pelo menos R$ 650 milhões e melhorias nos sistemas de diagnóstico e monitoramento.",NEUTRO | A FAVOR,,not_verified_in_transcript,0,1,PublicHearingBR_LDS.jsonl,114,,2024-03-19,Estratégias para a erradicação da tuberculose no Brasil até 2030,"Sugere foco no Amazonas para ampliar os futuros resultados efetivos de erradicação: ""No Amazonas, são 6 mil casos novos por ano. Então, o impacto de fazer um programa piloto na região para erradicação da tuberculose até 2030 dará a sensação de causa e efeito.""",LDS_opinion_summary_not_verbatim_speech,"O combate à tuberculose deve ser intensificado em todo o território brasileiro, não apenas no Amazonas. | O Brasil precisa de financiamento permanente e previsível para o programa de erradicação, e não apenas de emendas parlamentares pontuais. | A erradicação da tuberculose depende da disponibilidade de vacinas eficazes e de um tratamento mais curto, exigindo investimento em pesquisa e produção de insumos.",CONTRA | NEUTRO,,not_verified_in_transcript,0,1
