source_record_id,official_event_id,match_basis,review_note
3,72463,minister_committee,"Luiz Marinho and Commission of Labour match transcript opening and official event description."
10,72537,request_topic,"REQ 5/2024 by Capitão Alberto Neto and FGTS topic match."
15,70949,topic_guests,"Child Covid-19 vaccine obligation and named guests match."
16,71423,multiple_requests_minister,"Silvio Almeida and multiple CFFC/CSPCCO request numbers match."
17,70835,request_guests,"Rui Falcão/Flávio Nogueira and seminar speakers match; transcript says 2003 but official REQ is 34/2023."
23,72348,request_guests,"REQ 6/2024 by Hugo Leal and biometano speakers match."
30,71158,request_guests,"REQ 50/2023 by Ana Paula Lima and invited guests match."
41,67910,request_topic,"REQ 13/2023 and Inter-American older-person convention match."
57,67638,two_requests_guests,"REQ 10 and 11/2023 plus guest list match."
68,66306,guest_list_committee,"Joint older-person/health hearing and Vanessa Pirolo/Zacharias Calil guest list match."
80,65732,topic_guest_list,"Lobby hearing and Augusto Coutinho plus invited guests match."
85,68759,topic_guest_list,"LGBTQIAPN+ rights hearing and invited guests match."
87,72572,request_guests,"REQ 18/2024 by Josenildo and app-driver guests match."
89,65259,two_requests_guests,"REQ 2 and 9/2022 and Indigenous women/children speakers match."
91,65088,request_guests,"REQ 1/2022 by Danilo Forte and electricity tariff guests match."
104,72212,request_guests,"REQ 5/2024 by Hugo Leal and electricity concession guests match; date also stated in opening."
105,72246,request_guests,"REQ 24/2024 by Zacharias Calil and eye-health guests match."
107,72342,committee_guests,"Sixth special committee meeting and state civil-defence coordinators match."
110,72228,request_guests,"REQ 19/2024 and healthy ageing/G20 guests match."
112,72116,topic_guests,"PLC 12/2024 app-driver hearing and Paulo Xavier guest list match."
113,72137,topic_guests,"Disaster-prevention committee and ministry guests match."
114,71878,topic_guests,"Tuberculosis elimination hearing and ministry guests match."
118,71530,topic_guest,"Disaster-prevention ministry hearing and Wolnei Wolff match."
123,71256,topic_guest,"Tuberculosis elimination hearing and Ethel Maciel match."
129,71071,multiple_requests_minister,"Nísia Trindade and CFFC request numbers match."
134,71013,requests_guests,"REQ 152 and 160/2023 by Leônidas Cristino and energy guests match."
136,70950,request_guests,"REQ 81/2023 by Célia Xakriabá and Indigenous-land guests match."
138,70794,minister_topic,"ANPD president Waldemar Ortunho and data-leak hearing match."
139,70899,request_guests,"REQ 48/2023 by Célia Xakriabá and prison/Indigenous-rights guests match."
149,70202,request_guests,"REQ 38/2023 and Alexandre Silva/demographic-planning guests match."
154,70151,request_guests,"REQ 76/2023 and menopause/climacteric guests match."
155,69948,request_guests,"REQ 40/2023 by Aliel Machado and older-person statute guests match."
166,69813,request_guests,"REQ 22/2023 by Caio Vianna and blockchain guests match."
168,69761,request_guests,"REQ 96/2023 by Alice Portugal and Mercedes Bustamante postgraduate guests match."
184,69406,two_requests_guests,"REQ 12 and 25/2023 by Vitor Lippi and innovation-law guests match."
188,69277,guest_list,"Mercedes Bustamante and women-in-science guests match."
189,69090,request_guests,"REQ 9/2023 by Any Ortiz and digital-market guests match."
195,68976,request_guests,"REQ 7/2023 by Any Ortiz and foreign competition experts match."
197,68945,request_guests,"REQ 20/2023 by Luisa Canziani and innovation-law guests match."
199,68962,minister_multiple_requests,"Nísia Trindade and CFFC request numbers match."
203,68974,guest_list_committees,"Carmela Zigoni/Wilma dos Reis plus two organising commissions match."
