pair_id,side,source_record_id,selected_candidate_rank,evidence_start,evidence_end,reviewed_evidence_text,summary_support_reviewed,review_note,reviewer
263f772b51bf1354,a,149,2,8634,8738,O planejamento que eu faço para o envelhecimento da Região Sul precisa ser diferente do da Região Norte.,true,Central LDS manifestation checked against the quoted text in an explicitly named speaker turn.,Codex documentary review
263f772b51bf1354,b,110,1,33066,33240,"Então, temos que, cada vez mais, aprimorar as nossas ações, para que as pessoas idosas possam usufruir tanto de uma melhor qualidade de vida como de outras condições de vida.",true,Central LDS manifestation checked against the quoted text in an explicitly named speaker turn.,Codex documentary review
d4e87de87b4f3431,a,199,manual_range,47000,48528,"Em que pese a escassez do produto e a incapacidade de suprimento dessa demanda, causou estranheza o fato de a empresa Global X apresentar um preço significativamente inferior ao praticado no mercado. Quem conhece um pouco de economia sabe que, se falta produto, o preço sobe, o preço não cai. Esse questionamento chama a atenção porque não estamos falando de um preço similar ou um pouco mais baixo, estamos falando de um preço muito mais baixo. Essa é a primeira questão.

Outra questão também chamou a atenção. Havia outra empresa, a Novo Nordisk, que já era fornecedora regular de insulina para o Ministério da Saúde, mas foi desclassificada porque não atendia o prazo de 60 dias. Parece que o prazo dela era de 6 a 8 dias a mais. Ela foi desclassificada por essa razão. E a empresa Global X não tem representante no Brasil. Inclusive, é uma intermediadora. O Sr. Freddy Rabbat, um conhecido importador de relógios de luxo, foi investigado na época da pandemia de COVID. Ele é que está à frente da Global X, que não tem representante no Brasil. E essa empresa nunca produziu insulina. Não sabemos nem se essa empresa que ele representa... A empresa Gan & Lee, que é uma produtora de insulina, com que a Global X comercializa, também não tem representante.

Pergunto: por que foi escolhida uma empresa que tem histórico problemático de investigação? E é uma empresa que nunca produziu insulina. Não sabemos. Eu quero saber se houve comparação de preços. Também não tinha registro na ANVISA. Isso também chamou muito a atenção.",true,Central LDS manifestation checked against the quoted text in an explicitly named speaker turn.,Codex documentary review
d4e87de87b4f3431,b,16,1,20739,21088,"Luciane Barbosa Faria, sabendo-se que era esposa de líder do Comando Vermelho, condenada em segunda instância por organização criminosa, associação para o tráfico, lavagem de dinheiro, realmente nos causaram muito desconforto, especialmente a mim, principalmente porque foi feita audiência com servidores, tendo o Ministério pagado diárias, viagens.",true,Central LDS manifestation checked against the quoted text in an explicitly named speaker turn.,Codex documentary review
24c599750bdd544f,a,195,2,4733,4915,"Nós estamos aqui tendo uma grande oportunidade de poder enriquecer cada vez mais o nosso debate, aprendendo com o que já foi construído em outros países e a experiência que eles têm.",true,Central LDS manifestation checked against the quoted text in an explicitly named speaker turn.,Codex documentary review
24c599750bdd544f,b,189,1,60836,60924,"Nós entendemos a importância, é óbvio, dos mercados digitais na economia local e global.",true,Central LDS manifestation checked against the quoted text in an explicitly named speaker turn.,Codex documentary review
8f79764e69daadf2,a,149,1,2861,3101,"Além disso, há alguns dados que nos preocupam, que nos chamam a atenção e que demandam a necessidade de que o Estado brasileiro, no curto, médio e longo prazo, possa estar preparado para uma outra realidade em relação à questão demográfica.",true,Central LDS manifestation checked against the quoted text in an explicitly named speaker turn.,Codex documentary review
8f79764e69daadf2,b,110,1,60523,60860,"E, ao mesmo tempo, quando esse tema é provocado no G20, é porque essa não é uma pauta exclusiva do Brasil, mas, trazendo para dentro do Brasil, as palavras do Alexandre foram completas: o País é continental, com diversidade, com pluralidade de situações socioeconômicas que são desafiadoras, principalmente para as pessoas sejam ouvidas.",true,Central LDS manifestation checked against the quoted text in an explicitly named speaker turn.,Codex documentary review
af4d70f0c140e9c9,a,57,1,99996,100144,"Mas o que vamos esperar dos últimos anos, quando tivemos personalidades políticas que incitavam o ódio e a violência, que faziam gesto de “arminha”.",true,Central LDS manifestation checked against the quoted text in an explicitly named speaker turn.,Codex documentary review
af4d70f0c140e9c9,b,30,manual_range,31608,31873,"o Relator já acatou as cinco emendas apresentadas aqui por essa grande manifestação da coalizão, que envolve mais de 67 entidades — corrija-me, Lucas —, que prepararam todo esse debate e formularam essas emendas ao Orçamento. O Deputado Danilo já acatou todas elas.",true,Central LDS manifestation checked against the quoted text in an explicitly named speaker turn.,Codex documentary review
