pair_id,side,source_record_id,actor_name,source_summary,speaker_marker,turn_start,turn_end,evidence_start,evidence_end,evidence_text,lexical_score,candidate_rank
8b9017a72effb414,earlier,52,Alexandre da Silva,"Exemplificou os diversos tipos de idadismo: estrutural, cultural e internalizado.",O SR. ALEXANDRE DA SILVA,2733,17002,7222,7262,E o idadismo também pode ser estrutural.,0.3636,1
8b9017a72effb414,earlier,52,Alexandre da Silva,"Exemplificou os diversos tipos de idadismo: estrutural, cultural e internalizado.",O SR. ALEXANDRE DA SILVA,2733,17002,9301,9354,E a pior manifestação do idadismo é a internalização.,0.1818,2
8b9017a72effb414,earlier,52,Alexandre da Silva,"Exemplificou os diversos tipos de idadismo: estrutural, cultural e internalizado.",O SR. ALEXANDRE DA SILVA,2733,17002,7902,7961,"Há também o idadismo institucional, que ocorre diariamente.",0.1667,3
8b9017a72effb414,earlier,52,Alexandre da Silva,"Exemplificou os diversos tipos de idadismo: estrutural, cultural e internalizado.",O SR. ALEXANDRE DA SILVA,2733,17002,4651,4740,Nós temos algo em torno de 13% a 15% de pessoas idosas nos diversos Municípios do Brasil.,0.1333,4
8b9017a72effb414,earlier,52,Alexandre da Silva,"Exemplificou os diversos tipos de idadismo: estrutural, cultural e internalizado.",O SR. ALEXANDRE DA SILVA,2733,17002,6755,6861,"É importante, nesta discussão sobre o idadismo, trazer um novo significado para as palavras velho e velha.",0.1176,5
8b9017a72effb414,later,41,Alexandre da Silva,Lembrou que tratados relativos a pessoas com deficiência e contra o racismo foram aprovados de maneira qualificada.,O SR. ALEXANDRE DA SILVA,33151,42327,36137,36326,"5º da Constituição Federal, para garantir ostatusde emenda constitucional, o que já foi feito para outros grupos, como o de pessoas com deficiência, e também na questão da igualdade racial.",0.1429,1
8b9017a72effb414,later,41,Alexandre da Silva,Lembrou que tratados relativos a pessoas com deficiência e contra o racismo foram aprovados de maneira qualificada.,O SR. ALEXANDRE DA SILVA,33151,42327,33151,33190,Boa tarde a todas as pessoas presentes.,0.125,2
8b9017a72effb414,later,41,Alexandre da Silva,Lembrou que tratados relativos a pessoas com deficiência e contra o racismo foram aprovados de maneira qualificada.,O SR. ALEXANDRE DA SILVA,56859,57969,57101,57171,Quero lembrar que falar do envelhecimento é falar de todas as pessoas.,0.1176,3
8b9017a72effb414,later,41,Alexandre da Silva,Lembrou que tratados relativos a pessoas com deficiência e contra o racismo foram aprovados de maneira qualificada.,O SR. ALEXANDRE DA SILVA,56859,57969,57249,57323,E que as pessoas que já chegaram aos 60 anos possam também envelhecer bem.,0.1111,4
8b9017a72effb414,later,41,Alexandre da Silva,Lembrou que tratados relativos a pessoas com deficiência e contra o racismo foram aprovados de maneira qualificada.,O SR. ALEXANDRE DA SILVA,33151,42327,33473,33534,"Todas as pessoas idosas presentes, que bom encontrá-las aqui!",0.1053,5
370ab0f946469bab,earlier,52,Alexandre da Silva,Idadismo cultural ocorre quando quem é velho é sempre tido como ultrapassado.,O SR. ALEXANDRE DA SILVA,2733,17002,6291,6497,"A discriminação pode ser cultural, por exemplo, quando percebemos que velho sempre é a outra pessoa, que velho é uma coisa ruim, que velho é uma coisa ultrapassada, que velho é uma coisa que não serve mais.",0.3077,1
370ab0f946469bab,earlier,52,Alexandre da Silva,Idadismo cultural ocorre quando quem é velho é sempre tido como ultrapassado.,O SR. ALEXANDRE DA SILVA,2733,17002,7902,7961,"Há também o idadismo institucional, que ocorre diariamente.",0.2667,2
370ab0f946469bab,earlier,52,Alexandre da Silva,Idadismo cultural ocorre quando quem é velho é sempre tido como ultrapassado.,O SR. ALEXANDRE DA SILVA,2733,17002,5746,5867,"No entanto, quando você é mais velho e sofre idadismo por isso, no próximo ano será pior, porque estará mais velho ainda.",0.24,3
370ab0f946469bab,earlier,52,Alexandre da Silva,Idadismo cultural ocorre quando quem é velho é sempre tido como ultrapassado.,O SR. ALEXANDRE DA SILVA,2733,17002,6755,6861,"É importante, nesta discussão sobre o idadismo, trazer um novo significado para as palavras velho e velha.",0.2,4
370ab0f946469bab,earlier,52,Alexandre da Silva,Idadismo cultural ocorre quando quem é velho é sempre tido como ultrapassado.,O SR. ALEXANDRE DA SILVA,2733,17002,5423,5510,"Os mais jovens também sofrem o idadismo quando dizem:""Ah, você é muito jovem para isso!",0.1905,5
370ab0f946469bab,later,155,Alexandre da Silva,"Apontou a relevância do trabalho e da aposentadoria como papel social e citou a discriminação quanto à idade, chamada de idadismo, etarismo ou ageísmo, como uma barreira: ""Os espaços onde as pessoas idosas possam ocupar, a forma como elas podem desenvolver a sua cidadania é, sim, muito marcada por essa discriminação que as afeta constantemente. E isso vai gerando inseguranças e um cenário muito ruim. A gente vê, infelizmente, algumas flexibilizações das leis trabalhistas que as deixam mais inseguras de poder ter uma aposentadoria, ter uma pensão.""",O SR. ALEXANDRE DA SILVA,33453,52063,36749,36966,"Então, os espaços que as pessoas idosas possam ocupar, os direitos que elas possam ter, a forma como elas podem desenvolver a sua cidadania são, sim, muito marcados por essa discriminação, que as afeta constantemente.",0.4932,1
370ab0f946469bab,later,155,Alexandre da Silva,"Apontou a relevância do trabalho e da aposentadoria como papel social e citou a discriminação quanto à idade, chamada de idadismo, etarismo ou ageísmo, como uma barreira: ""Os espaços onde as pessoas idosas possam ocupar, a forma como elas podem desenvolver a sua cidadania é, sim, muito marcada por essa discriminação que as afeta constantemente. E isso vai gerando inseguranças e um cenário muito ruim. A gente vê, infelizmente, algumas flexibilizações das leis trabalhistas que as deixam mais inseguras de poder ter uma aposentadoria, ter uma pensão.""",O SR. ALEXANDRE DA SILVA,33453,52063,37038,37187,"Vemos, infelizmente, algumas flexibilizações a leis trabalhistas que deixam mais inseguras as pessoas de poder ter uma aposentadoria, ter uma pensão.",0.4,2
370ab0f946469bab,later,155,Alexandre da Silva,"Apontou a relevância do trabalho e da aposentadoria como papel social e citou a discriminação quanto à idade, chamada de idadismo, etarismo ou ageísmo, como uma barreira: ""Os espaços onde as pessoas idosas possam ocupar, a forma como elas podem desenvolver a sua cidadania é, sim, muito marcada por essa discriminação que as afeta constantemente. E isso vai gerando inseguranças e um cenário muito ruim. A gente vê, infelizmente, algumas flexibilizações das leis trabalhistas que as deixam mais inseguras de poder ter uma aposentadoria, ter uma pensão.""",O SR. ALEXANDRE DA SILVA,33453,52063,36967,37037,"Isso vai gerando inseguranças, isso vai gerando um cenário muito ruim.",0.2414,3
370ab0f946469bab,later,155,Alexandre da Silva,"Apontou a relevância do trabalho e da aposentadoria como papel social e citou a discriminação quanto à idade, chamada de idadismo, etarismo ou ageísmo, como uma barreira: ""Os espaços onde as pessoas idosas possam ocupar, a forma como elas podem desenvolver a sua cidadania é, sim, muito marcada por essa discriminação que as afeta constantemente. E isso vai gerando inseguranças e um cenário muito ruim. A gente vê, infelizmente, algumas flexibilizações das leis trabalhistas que as deixam mais inseguras de poder ter uma aposentadoria, ter uma pensão.""",O SR. ALEXANDRE DA SILVA,33453,52063,43065,43325,"Então, essa gestão está muito preocupada em fazer um diagnóstico, junto com o IBGE, junto com o MDS, para entender também quais são essas ILPIs, como elas estão funcionando e o quanto elas têm permitido dignidade e independência para essas pessoas mais velhas.",0.175,4
370ab0f946469bab,later,155,Alexandre da Silva,"Apontou a relevância do trabalho e da aposentadoria como papel social e citou a discriminação quanto à idade, chamada de idadismo, etarismo ou ageísmo, como uma barreira: ""Os espaços onde as pessoas idosas possam ocupar, a forma como elas podem desenvolver a sua cidadania é, sim, muito marcada por essa discriminação que as afeta constantemente. E isso vai gerando inseguranças e um cenário muito ruim. A gente vê, infelizmente, algumas flexibilizações das leis trabalhistas que as deixam mais inseguras de poder ter uma aposentadoria, ter uma pensão.""",O SR. ALEXANDRE DA SILVA,33453,52063,36229,36324,"E aqui falo do trabalho no sentido mais amplo, o trabalho como um papel social que nos envolve.",0.1639,5
62551a12ba0d40a1,earlier,149,Alexandre Lindenmeyer,"Preocupação com os recentes dados demográficos brasileiros que projetam para o ano de 2060 uma proporção de uma pessoa idosa (acima de 60 anos) para 1,6 pessoa na faixa de idade entre 14 e 59 anos: ""É importante que o Estado brasileiro se prepare, com ações de curto, médio e longo prazos, para uma outra realidade demográfica, com a diminuição da natalidade e o aumento da população idosa.""",O SR. PRESIDENTE(Alexandre Lindenmeyer. Bloco/PT - RS),57,4171,2861,3101,"Além disso, há alguns dados que nos preocupam, que nos chamam a atenção e que demandam a necessidade de que o Estado brasileiro, no curto, médio e longo prazo, possa estar preparado para uma outra realidade em relação à questão demográfica.",0.3273,1
62551a12ba0d40a1,earlier,149,Alexandre Lindenmeyer,"Preocupação com os recentes dados demográficos brasileiros que projetam para o ano de 2060 uma proporção de uma pessoa idosa (acima de 60 anos) para 1,6 pessoa na faixa de idade entre 14 e 59 anos: ""É importante que o Estado brasileiro se prepare, com ações de curto, médio e longo prazos, para uma outra realidade demográfica, com a diminuição da natalidade e o aumento da população idosa.""",O SR. PRESIDENTE(Alexandre Lindenmeyer. Bloco/PT - RS),57,4171,3336,3463,"E se projeta que, talvez, já em 2060, nós tenhamos, para cada pessoa com mais de 60 anos, 1,6 pessoas na faixa de 14 a 59 anos.",0.1905,2
62551a12ba0d40a1,earlier,149,Alexandre Lindenmeyer,"Preocupação com os recentes dados demográficos brasileiros que projetam para o ano de 2060 uma proporção de uma pessoa idosa (acima de 60 anos) para 1,6 pessoa na faixa de idade entre 14 e 59 anos: ""É importante que o Estado brasileiro se prepare, com ações de curto, médio e longo prazos, para uma outra realidade demográfica, com a diminuição da natalidade e o aumento da população idosa.""",O SR. PRESIDENTE(Alexandre Lindenmeyer. Bloco/PT - RS),57,4171,1936,2148,"Izabel Guimarães Marri, Gerente de Estudos e Análises da Dinâmica Demográfica da Coordenação de População e Indicadores Sociais da Diretoria de Pesquisas do Instituto Brasileiro de Geografia e Estatística — IBGE.",0.1176,3
62551a12ba0d40a1,earlier,149,Alexandre Lindenmeyer,"Preocupação com os recentes dados demográficos brasileiros que projetam para o ano de 2060 uma proporção de uma pessoa idosa (acima de 60 anos) para 1,6 pessoa na faixa de idade entre 14 e 59 anos: ""É importante que o Estado brasileiro se prepare, com ações de curto, médio e longo prazos, para uma outra realidade demográfica, com a diminuição da natalidade e o aumento da população idosa.""",O SR. PRESIDENTE(Alexandre Lindenmeyer. Bloco/PT - RS),64419,64867,64601,64815,"Izabel Guimarães Marri, Gerente de Estudos e Análises da Dinâmica Demográfica, da Coordenação de População e Indicadores Sociais, da Diretoria de Pesquisas do Instituto Brasileiro de Geografia e Estatística — IBGE.",0.1176,4
62551a12ba0d40a1,earlier,149,Alexandre Lindenmeyer,"Preocupação com os recentes dados demográficos brasileiros que projetam para o ano de 2060 uma proporção de uma pessoa idosa (acima de 60 anos) para 1,6 pessoa na faixa de idade entre 14 e 59 anos: ""É importante que o Estado brasileiro se prepare, com ações de curto, médio e longo prazos, para uma outra realidade demográfica, com a diminuição da natalidade e o aumento da população idosa.""",O SR. PRESIDENTE(Alexandre Lindenmeyer. Bloco/PT - RS),57,4171,101,201,Declaro aberta esta reunião de audiência pública da Comissão de Defesa dos Direitos da Pessoa Idosa.,0.093,5
62551a12ba0d40a1,later,120,Alexandre Lindenmeyer,"Lamentou a ausência de representantes das mineradoras que foram convidados para a audiência, mas não compareceram: ""Diante do contexto, nós não temos a participação do outro lado. É um tema que, por vezes, passa à margem do conhecimento da ampla maioria do povo brasileiro, mas é um tema recorrente para quem está vivendo na pele as suas dores e as suas perdas.""",O SR. PRESIDENTE(Alexandre Lindenmeyer. Bloco/PT - RS),100662,102840,101457,101555,"Este é um tema que passa, por vezes, à margem do conhecimento da ampla maioria do povo brasileiro.",0.4286,1
62551a12ba0d40a1,later,120,Alexandre Lindenmeyer,"Lamentou a ausência de representantes das mineradoras que foram convidados para a audiência, mas não compareceram: ""Diante do contexto, nós não temos a participação do outro lado. É um tema que, por vezes, passa à margem do conhecimento da ampla maioria do povo brasileiro, mas é um tema recorrente para quem está vivendo na pele as suas dores e as suas perdas.""",O SR. PRESIDENTE(Alexandre Lindenmeyer. Bloco/PT - RS),100662,102840,101556,101660,"Fica à margem, mas é um assunto recorrente para quem está vivendo na pele as suas dores, as suas perdas.",0.4186,2
