pair_id,actor_name_reference_only,annotator_1_display_a_source_side,annotator_2_display_a_source_side,event_date_a,event_date_b,event_type_a,event_type_b,evidence_a,evidence_b,stance_determinable_1_a,target_proposition_1_a,stance_1_a,determinability_confidence_1_a,proposition_confidence_1_a,stance_confidence_1_a,annotation_notes_1_a,stance_determinable_1_b,target_proposition_1_b,stance_1_b,determinability_confidence_1_b,proposition_confidence_1_b,stance_confidence_1_b,annotation_notes_1_b,same_proposition_1,comparability_confidence_1,comparability_notes_1,stance_determinable_2_a,target_proposition_2_a,stance_2_a,determinability_confidence_2_a,proposition_confidence_2_a,stance_confidence_2_a,annotation_notes_2_a,stance_determinable_2_b,target_proposition_2_b,stance_2_b,determinability_confidence_2_b,proposition_confidence_2_b,stance_confidence_2_b,annotation_notes_2_b,same_proposition_2,comparability_confidence_2,comparability_notes_2,derived_relation_1,derived_relation_2,determinability_disagreement_sides,stance_disagreement_sides,same_proposition_disagreement,derived_relation_disagreement,adjudication_reasons
263f772b51bf1354,Alexandre da Silva,b,a,2023-10-18,2024-04-09,PUBLIC_HEARING,PUBLIC_HEARING,O planejamento que eu faço para o envelhecimento da Região Sul precisa ser diferente do da Região Norte.,"Então, temos que, cada vez mais, aprimorar as nossas ações, para que as pessoas idosas possam usufruir tanto de uma melhor qualidade de vida como de outras condições de vida.",YES,O planejamento de políticas para o envelhecimento deve ser diferenciado entre as regiões do país.,FAVOR,HIGH,HIGH,HIGH,,YES,Linhas de cuidado para pessoas idosas devem ser construídas a partir das particularidades de diferentes grupos e regiões.,FAVOR,HIGH,MEDIUM,HIGH,,YES,MEDIUM,,YES,O país deve planejar políticas públicas para o envelhecimento da população,FAVOR,HIGH,HIGH,HIGH,O orador revela o próprio cargo,YES,"O governo tem que cuidar da qualidade de vida dos idosos, que é uma população em crescimento",FAVOR,HIGH,LOW,HIGH,,UNCERTAIN,LOW,"As duas falas parecem concordar, mas a B não indica nenhuma ação específica. Fica incerto se são a mesma proposição",STANCE_MAINTAINED,RELATION_UNCERTAIN,,,true,true,FREE_TEXT_PROPOSITION_REVIEW|COMPARABILITY_DISAGREEMENT|RELATION_DISAGREEMENT
d4e87de87b4f3431,Adriana Ventura,b,b,2023-08-09,2023-12-05,MINISTER_APPEARANCE,MINISTER_APPEARANCE,"Em que pese a escassez do produto e a incapacidade de suprimento dessa demanda, causou estranheza o fato de a empresa Global X apresentar um preço significativamente inferior ao praticado no mercado. Quem conhece um pouco de economia sabe que, se falta produto, o preço sobe, o preço não cai. Esse questionamento chama a atenção porque não estamos falando de um preço similar ou um pouco mais baixo, estamos falando de um preço muito mais baixo. Essa é a primeira questão.

Outra questão também chamou a atenção. Havia outra empresa, a Novo Nordisk, que já era fornecedora regular de insulina para o Ministério da Saúde, mas foi desclassificada porque não atendia o prazo de 60 dias. Parece que o prazo dela era de 6 a 8 dias a mais. Ela foi desclassificada por essa razão. E a empresa Global X não tem representante no Brasil. Inclusive, é uma intermediadora. O Sr. Freddy Rabbat, um conhecido importador de relógios de luxo, foi investigado na época da pandemia de COVID. Ele é que está à frente da Global X, que não tem representante no Brasil. E essa empresa nunca produziu insulina. Não sabemos nem se essa empresa que ele representa... A empresa Gan & Lee, que é uma produtora de insulina, com que a Global X comercializa, também não tem representante.

Pergunto: por que foi escolhida uma empresa que tem histórico problemático de investigação? E é uma empresa que nunca produziu insulina. Não sabemos. Eu quero saber se houve comparação de preços. Também não tinha registro na ANVISA. Isso também chamou muito a atenção.","Luciane Barbosa Faria, sabendo-se que era esposa de líder do Comando Vermelho, condenada em segunda instância por organização criminosa, associação para o tráfico, lavagem de dinheiro, realmente nos causaram muito desconforto, especialmente a mim, principalmente porque foi feita audiência com servidores, tendo o Ministério pagado diárias, viagens.",YES,Foi adequada a contratação da empresa Global X para a compra emergencial de insulina pelo Ministério da Saúde.,AGAINST,HIGH,HIGH,HIGH,,YES,Foi adequado o Ministério dos Direitos Humanos custear diárias e passagens de Luciane Barbosa Farias.,AGAINST,HIGH,HIGH,HIGH,,NO,HIGH,,YES,O Ministério da Saúde verifica adequadamente as empresas antes da contratação,AGAINST,MEDIUM,MEDIUM,HIGH,"A deputada se auto refere como ""rainha dos requerimentos""",YES,O Ministério verifica quem recebe diárias e passagens,AGAINST,MEDIUM,HIGH,HIGH,O orador revela o seu partido,NO,HIGH,"As duas falas criticam a falta de verificação pelo governo, mas elas se referem a fatos diferentes de âmbitos diferentes",INCOMPARABLE,INCOMPARABLE,,,false,false,FREE_TEXT_PROPOSITION_REVIEW
24c599750bdd544f,Any Ortiz,b,a,2023-08-10,2023-08-24,PUBLIC_HEARING,PUBLIC_HEARING,"Nós estamos aqui tendo uma grande oportunidade de poder enriquecer cada vez mais o nosso debate, aprendendo com o que já foi construído em outros países e a experiência que eles têm.","Nós entendemos a importância, é óbvio, dos mercados digitais na economia local e global.",YES,O Brasil deve aprovar legislação específica de regulamentação dos mercados digitais.,FAVOR,MEDIUM,MEDIUM,MEDIUM,,NO,,,MEDIUM,,,,,,,YES,O país deve ter uma lei para os mercados digitais sem criar mais burocracia,FAVOR,HIGH,MEDIUM,HIGH,Ela preside a audiência e conta que é autora do requerimento PL 2.768,YES,Precisam ser criadas novas regras para os mercados digitais para garantir a livre concorrência e proteção dos consumidores,FAVOR,MEDIUM,MEDIUM,HIGH,,YES,MEDIUM,,INSUFFICIENT_EVIDENCE,STANCE_MAINTAINED,b,,false,true,FREE_TEXT_PROPOSITION_REVIEW|DETERMINABILITY_DISAGREEMENT|RELATION_DISAGREEMENT
8f79764e69daadf2,Alexandre Lindenmeyer,a,b,2023-10-18,2024-04-09,PUBLIC_HEARING,PUBLIC_HEARING,"Além disso, há alguns dados que nos preocupam, que nos chamam a atenção e que demandam a necessidade de que o Estado brasileiro, no curto, médio e longo prazo, possa estar preparado para uma outra realidade em relação à questão demográfica.","E, ao mesmo tempo, quando esse tema é provocado no G20, é porque essa não é uma pauta exclusiva do Brasil, mas, trazendo para dentro do Brasil, as palavras do Alexandre foram completas: o País é continental, com diversidade, com pluralidade de situações socioeconômicas que são desafiadoras, principalmente para as pessoas sejam ouvidas.",YES,É importante a criação de políticas públicas pensadas para o aumento da população idosa.,FAVOR,MEDIUM,LOW,MEDIUM,,YES,Gestores municipais devem tratar a política para a pessoa idosa com mais importância.,FAVOR,HIGH,HIGH,HIGH,,YES,LOW,,YES,O país deve se preparar para o envelhecimento da população,FAVOR,HIGH,HIGH,HIGH,O orador menciona presidir uma reunião e se declara autor do requerimento,YES,A pauta da pessoa idosa deve ser uma prioridade para os gestores municipais,FAVOR,HIGH,HIGH,HIGH,,NO,MEDIUM,"As duas falam sobre a importância de olhar para o envelhecimento da população, mas uma cobra prioridade dos gestores municipais e outra defende a preparação do país inteiro",STANCE_MAINTAINED,INCOMPARABLE,,,true,true,FREE_TEXT_PROPOSITION_REVIEW|COMPARABILITY_DISAGREEMENT|RELATION_DISAGREEMENT
af4d70f0c140e9c9,Ana Paula Lima,a,b,2023-04-19,2023-11-21,PUBLIC_HEARING,PUBLIC_HEARING,"Mas o que vamos esperar dos últimos anos, quando tivemos personalidades políticas que incitavam o ódio e a violência, que faziam gesto de “arminha”.","o Relator já acatou as cinco emendas apresentadas aqui por essa grande manifestação da coalizão, que envolve mais de 67 entidades — corrija-me, Lucas —, que prepararam todo esse debate e formularam essas emendas ao Orçamento. O Deputado Danilo já acatou todas elas.",YES,Discursos e gestos de figuras políticas que incitam ódio e violência contribuem para o aumento da violência nas escolas.,FAVOR,HIGH,MEDIUM,HIGH,,YES,O orçamento federal deve destinar recursos específicos para prevenção da violência contra crianças e adolescentes.,FAVOR,HIGH,MEDIUM,HIGH,,NO,HIGH,,YES,O país precisa regular as redes sociais pra frear o discurso de ódio,FAVOR,HIGH,HIGH,HIGH,"A oradora revela a sua cidade e o seu primeiro nome, Ana Paula",YES,Deve haver orçamento para proteger crianças e adolescentes,FAVOR,HIGH,HIGH,HIGH,O orador conduz a audiência,NO,HIGH,,INCOMPARABLE,INCOMPARABLE,,,false,false,FREE_TEXT_PROPOSITION_REVIEW
d4c07b40fb424a0c,Bia Kicis,a,a,2023-11-08,2023-11-28,PUBLIC_HEARING,MINISTER_APPEARANCE,"Existe uma elite globalista que quer, sim, forçar essa vacinação, inclusive em bebês, e o Brasil está sendo pioneiro nessa obrigação.","Nós estamos questionando muito claramente essa terapia gênica, e não as demais vacinas.",YES,A vacinação contra a Covid-19 deve ser obrigatória para crianças de 6 meses a 5 anos.,AGAINST,HIGH,HIGH,HIGH,,YES,A vacinação contra a Covid-19 deve ser obrigatória para crianças.,AGAINST,HIGH,HIGH,HIGH,,YES,HIGH,,YES,A vacina contra a Covid-19 deve ser obrigatória para crianças de 6 meses a 5 anos,AGAINST,HIGH,HIGH,HIGH,"Se auto identifica como a deputada Bia Kicis, porque mostra uma manchete com o próprio nome",YES,A vacina contra a Covid-19 deve ser obrigatória para crianças (não menciona idade diretamente),AGAINST,HIGH,HIGH,HIGH,,YES,HIGH,,STANCE_MAINTAINED,STANCE_MAINTAINED,,,false,false,FREE_TEXT_PROPOSITION_REVIEW
0138e27cd0f53d95,Aliel Machado,a,b,2023-06-28,2023-10-04,PUBLIC_HEARING,PUBLIC_HEARING,"Constrange-nos, há tanto tempo, ter isso na pauta, para aprovação, e ainda não termos conseguido.","O Brasil avançou consideravelmente na proteção das pessoas mais velhas, mas há, ainda, parte de determinações legais que não é obedecida.",YES,O Congresso Nacional deve aprovar a Convenção Interamericana sobre a Proteção dos Direitos Humanos dos Idosos.,FAVOR,HIGH,HIGH,HIGH,,YES,O Congresso Nacional deve aprovar a Convenção Interamericana sobre a Proteção dos Direitos Humanos dos Idosos.,FAVOR,HIGH,MEDIUM,HIGH,,YES,HIGH,,YES,O Brasil deve aprovar a Convenção Interamericana sobre a Proteção dos Direitos Humanos dos Idosos,FAVOR,HIGH,HIGH,HIGH,O orador preside a Comissão de Defesa dos Direitos da Pessoa Idosa e mostra ligação com o Paraná,YES,Os direitos do Estatuto da Pessoa Idosa devem ser postos em prática,FAVOR,HIGH,HIGH,HIGH,Quem fala preside a Comissão de Defesa dos Direitos da Pessoa Idosa e mostra ligação com o Paraná,NO,MEDIUM,A pede o cumprimento do Estatuto e B pede a aprovação da Convenção Interamericana,STANCE_MAINTAINED,INCOMPARABLE,,,true,true,FREE_TEXT_PROPOSITION_REVIEW|COMPARABILITY_DISAGREEMENT|RELATION_DISAGREEMENT
2e42e8583aea6939,Antonio Brito,a,b,2023-12-05,2024-03-19,PUBLIC_HEARING,PUBLIC_HEARING,"Não se pode imaginar que nós vamos ter que erradicar essa doença, que tem 80 mil casos novos por ano no Brasil, que mata mais de 4.","no Amazonas hoje são 6 mil casos novos por ano, confere? Portanto, se eu reduzisse isso, eu teria que reduzir 2 mil casos novos por ano. Então, o impacto de você fechar o programa piloto",YES,O orçamento federal do programa de combate à tuberculose deve ser ampliado.,FAVOR,HIGH,HIGH,HIGH,,YES,O Amazonas deve ser o estado-piloto de um programa interministerial para eliminar a tuberculose até 2030.,FAVOR,HIGH,MEDIUM,HIGH,,NO,MEDIUM,,YES,O Brasil deve aumentar o orçamento para o combate à tuberculose,FAVOR,HIGH,HIGH,HIGH,O orador menciona que lidera o PSD na Câmara,YES,O Amazonas deve ser o estado piloto para reunir as ações contra a tuberculose,FAVOR,HIGH,HIGH,HIGH,"O orador revela o seu estado, seu partido e que já presidiu a Comissão de Saúde",NO,HIGH,"As duas falas querem acabar com a tuberculose, mas uma defende o Amazonas como estado piloto e a outra defende mais dinheiro no orçamento",INCOMPARABLE,INCOMPARABLE,,,false,false,FREE_TEXT_PROPOSITION_REVIEW
3459768d16f576e5,Capitão Alberto Neto,b,a,2024-04-17,2024-04-24,MINISTER_APPEARANCE,PUBLIC_HEARING,"Eu diria, conversando com os trabalhadores do meu País, que seria cruel e até maligno o fim do Saque-Aniversário, que é como se fosse o 14º salário do trabalhador.","Acho que precisamos aprimorar o saque-aniversário, mas acabar neste momento seria uma solução muito cruel para os trabalhadores.",YES,O saque-aniversário do FGTS deve ser extinto.,AGAINST,HIGH,HIGH,HIGH,,YES,O saque-aniversário do FGTS deve ser extinto.,AGAINST,HIGH,HIGH,HIGH,,YES,HIGH,,YES,O governo deve acabar com o saque-aniversário do FGTS,AGAINST,HIGH,HIGH,HIGH,"O orador pede o tempo de Liderança, o que sugere que ele lidera uma bancada",YES,O governo deve acabar com o saque-aniversário do FGTS,AGAINST,HIGH,HIGH,HIGH,"Ele conta que é de Manaus, que foi capitão e policial e que é da oposição",YES,HIGH,,STANCE_MAINTAINED,STANCE_MAINTAINED,,,false,false,FREE_TEXT_PROPOSITION_REVIEW
2a22c99d1d3a678c,Dr. Zacharias Calil,b,a,2022-08-17,2024-04-11,PUBLIC_HEARING,PUBLIC_HEARING,"Eu estou vendo aqui — estou estudando esse tema — que o problema maior é a fila de espera, o que faz com que esses pacientes não tenham acompanhamento.","É fundamental que o SUS revise e atualize seus protocolos clínicos para incluir diretrizes claras e abrangentes para o diagnóstico, o tratamento e o acompanhamento do edema macular.",YES,A fila de espera por atendimento especializado é um grande problema no acompanhamento de pacientes no SUS.,FAVOR,MEDIUM,MEDIUM,MEDIUM,,YES,"O SUS deve revisar e atualizar os protocolos clínicos de diagnóstico, tratamento e acompanhamento do edema macular diabético.",FAVOR,HIGH,HIGH,HIGH,,NO,MEDIUM,,YES,Os pacientes diagnosticados com retinopatia diabética conseguem acompanhamento em tempo hábil pelo SUS,AGAINST,HIGH,MEDIUM,HIGH,O orador conduz a audiência,YES,O SUS precisa atualizar a forma como acompanha quem tem edema macular diabético,FAVOR,HIGH,HIGH,HIGH,"O orador menciona o próprio nome, Deputado Dr. Zacharias Calil",NO,MEDIUM,"As duas falas criticam o atendimento do SUS, mas A trata da fila e B trata da atualização dos protocolos",INCOMPARABLE,INCOMPARABLE,,a,false,false,FREE_TEXT_PROPOSITION_REVIEW|STANCE_DISAGREEMENT
