pair_id,model,relation_gold,relation_without_gate,relation_with_gate,gate_effect
0138e27cd0f53d95,Qwen/Qwen2.5-72B-Instruct,INCOMPARABLE,STANCE_MAINTAINED,INCOMPARABLE,ERROR_TO_CORRECT
24c599750bdd544f,Qwen/Qwen2.5-72B-Instruct,STANCE_MAINTAINED,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,ERROR_TO_ERROR
263f772b51bf1354,Qwen/Qwen2.5-72B-Instruct,RELATION_UNCERTAIN,STANCE_MAINTAINED,STANCE_MAINTAINED,ERROR_TO_ERROR
2a22c99d1d3a678c,Qwen/Qwen2.5-72B-Instruct,INCOMPARABLE,STANCE_MAINTAINED,INCOMPARABLE,ERROR_TO_CORRECT
2e42e8583aea6939,Qwen/Qwen2.5-72B-Instruct,INCOMPARABLE,STANCE_MAINTAINED,INCOMPARABLE,ERROR_TO_CORRECT
3459768d16f576e5,Qwen/Qwen2.5-72B-Instruct,STANCE_MAINTAINED,STANCE_MAINTAINED,STANCE_MAINTAINED,CORRECT_TO_CORRECT
36e4b11ff6345a11,Qwen/Qwen2.5-72B-Instruct,INCOMPARABLE,STANCE_MAINTAINED,INCOMPARABLE,ERROR_TO_CORRECT
36fb1e1240a12ac4,Qwen/Qwen2.5-72B-Instruct,INCOMPARABLE,STANCE_MAINTAINED,INCOMPARABLE,ERROR_TO_CORRECT
4cffd4e8a3906c01,Qwen/Qwen2.5-72B-Instruct,INCOMPARABLE,STANCE_MAINTAINED,INCOMPARABLE,ERROR_TO_CORRECT
8f79764e69daadf2,Qwen/Qwen2.5-72B-Instruct,RELATION_UNCERTAIN,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,ERROR_TO_ERROR
af4d70f0c140e9c9,Qwen/Qwen2.5-72B-Instruct,INCOMPARABLE,STANCE_MAINTAINED,INCOMPARABLE,ERROR_TO_CORRECT
d3769de977ace19d,Qwen/Qwen2.5-72B-Instruct,STANCE_MAINTAINED,STANCE_MAINTAINED,STANCE_MAINTAINED,CORRECT_TO_CORRECT
d4c07b40fb424a0c,Qwen/Qwen2.5-72B-Instruct,STANCE_MAINTAINED,STANCE_MAINTAINED,STANCE_MAINTAINED,CORRECT_TO_CORRECT
d4e87de87b4f3431,Qwen/Qwen2.5-72B-Instruct,INCOMPARABLE,STANCE_MAINTAINED,INCOMPARABLE,ERROR_TO_CORRECT
de54c782d361768c,Qwen/Qwen2.5-72B-Instruct,INCOMPARABLE,STANCE_MAINTAINED,INCOMPARABLE,ERROR_TO_CORRECT
e001ebac1d8033f1,Qwen/Qwen2.5-72B-Instruct,STANCE_MAINTAINED,STANCE_MAINTAINED,STANCE_MAINTAINED,CORRECT_TO_CORRECT
e6a308550846aa5f,Qwen/Qwen2.5-72B-Instruct,INCOMPARABLE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,ERROR_TO_ERROR
ebcdef50abd4418f,Qwen/Qwen2.5-72B-Instruct,INCOMPARABLE,STANCE_MAINTAINED,INCOMPARABLE,ERROR_TO_CORRECT
0138e27cd0f53d95,meta-llama/Llama-3.3-70B-Instruct-Turbo,INCOMPARABLE,STANCE_MAINTAINED,INCOMPARABLE,ERROR_TO_CORRECT
24c599750bdd544f,meta-llama/Llama-3.3-70B-Instruct-Turbo,STANCE_MAINTAINED,STANCE_MAINTAINED,STANCE_MAINTAINED,CORRECT_TO_CORRECT
263f772b51bf1354,meta-llama/Llama-3.3-70B-Instruct-Turbo,RELATION_UNCERTAIN,STANCE_MAINTAINED,INCOMPARABLE,ERROR_TO_ERROR
2a22c99d1d3a678c,meta-llama/Llama-3.3-70B-Instruct-Turbo,INCOMPARABLE,STANCE_MAINTAINED,INCOMPARABLE,ERROR_TO_CORRECT
2e42e8583aea6939,meta-llama/Llama-3.3-70B-Instruct-Turbo,INCOMPARABLE,STANCE_MAINTAINED,INCOMPARABLE,ERROR_TO_CORRECT
3459768d16f576e5,meta-llama/Llama-3.3-70B-Instruct-Turbo,STANCE_MAINTAINED,STANCE_MAINTAINED,INCOMPARABLE,CORRECT_TO_ERROR
36e4b11ff6345a11,meta-llama/Llama-3.3-70B-Instruct-Turbo,INCOMPARABLE,STANCE_MAINTAINED,INCOMPARABLE,ERROR_TO_CORRECT
36fb1e1240a12ac4,meta-llama/Llama-3.3-70B-Instruct-Turbo,INCOMPARABLE,STANCE_MAINTAINED,INCOMPARABLE,ERROR_TO_CORRECT
4cffd4e8a3906c01,meta-llama/Llama-3.3-70B-Instruct-Turbo,INCOMPARABLE,STANCE_REVERSED,INCOMPARABLE,ERROR_TO_CORRECT
8f79764e69daadf2,meta-llama/Llama-3.3-70B-Instruct-Turbo,RELATION_UNCERTAIN,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,ERROR_TO_ERROR
af4d70f0c140e9c9,meta-llama/Llama-3.3-70B-Instruct-Turbo,INCOMPARABLE,STANCE_MAINTAINED,INCOMPARABLE,ERROR_TO_CORRECT
d3769de977ace19d,meta-llama/Llama-3.3-70B-Instruct-Turbo,STANCE_MAINTAINED,STANCE_MAINTAINED,STANCE_MAINTAINED,CORRECT_TO_CORRECT
d4c07b40fb424a0c,meta-llama/Llama-3.3-70B-Instruct-Turbo,STANCE_MAINTAINED,STANCE_MAINTAINED,STANCE_MAINTAINED,CORRECT_TO_CORRECT
d4e87de87b4f3431,meta-llama/Llama-3.3-70B-Instruct-Turbo,INCOMPARABLE,STANCE_MAINTAINED,INCOMPARABLE,ERROR_TO_CORRECT
de54c782d361768c,meta-llama/Llama-3.3-70B-Instruct-Turbo,INCOMPARABLE,STANCE_MAINTAINED,INCOMPARABLE,ERROR_TO_CORRECT
e001ebac1d8033f1,meta-llama/Llama-3.3-70B-Instruct-Turbo,STANCE_MAINTAINED,STANCE_MAINTAINED,INCOMPARABLE,CORRECT_TO_ERROR
e6a308550846aa5f,meta-llama/Llama-3.3-70B-Instruct-Turbo,INCOMPARABLE,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,ERROR_TO_ERROR
ebcdef50abd4418f,meta-llama/Llama-3.3-70B-Instruct-Turbo,INCOMPARABLE,STANCE_MAINTAINED,INCOMPARABLE,ERROR_TO_CORRECT
