pair_id,model,relation_gold,baseline_a_relation,structured_without_gate_relation,structured_with_gate_relation,stance_determinable_a,stance_determinable_b,target_proposition_a,target_proposition_b,same_proposition,stance_a,stance_b,A_correct,B_correct,C_correct,gate_effect,malformed_output
0138e27cd0f53d95,Qwen/Qwen2.5-72B-Instruct,INCOMPARABLE,STANCE_MAINTAINED,STANCE_MAINTAINED,INCOMPARABLE,YES,YES,Aprovação da Convenção Interamericana sobre a Proteção dos Direitos Humanos dos Idosos,Consolidação de políticas públicas para idosos no contexto dos 20 anos do Estatuto do Idoso,NO,FAVOR,FAVOR,False,False,True,ERROR_TO_CORRECT,False
24c599750bdd544f,Qwen/Qwen2.5-72B-Instruct,STANCE_MAINTAINED,STANCE_MAINTAINED,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,NO,NO,,,UNCERTAIN,UNCERTAIN,UNCERTAIN,True,False,False,ERROR_TO_ERROR,False
263f772b51bf1354,Qwen/Qwen2.5-72B-Instruct,RELATION_UNCERTAIN,STANCE_MAINTAINED,STANCE_MAINTAINED,STANCE_MAINTAINED,YES,YES,O envelhecimento da população brasileira é um ganho das políticas públicas e requer um planejamento interdisciplinar e inclusivo.,O envelhecimento da população brasileira é um ganho das políticas públicas e requer um planejamento interdisciplinar e inclusivo.,YES,FAVOR,FAVOR,False,False,False,ERROR_TO_ERROR,False
2a22c99d1d3a678c,Qwen/Qwen2.5-72B-Instruct,INCOMPARABLE,INCOMPARABLE,STANCE_MAINTAINED,INCOMPARABLE,YES,YES,"O atendimento primário deve resolver o problema da retinopatia diabética, mas há entraves na fila de espera para atendimento especializado.","O SUS deve revisar e atualizar seus protocolos clínicos para incluir diretrizes claras e abrangentes para o diagnóstico, tratamento e acompanhamento do edema macular diabético.",NO,FAVOR,FAVOR,True,False,True,ERROR_TO_CORRECT,False
2e42e8583aea6939,Qwen/Qwen2.5-72B-Instruct,INCOMPARABLE,STANCE_MAINTAINED,STANCE_MAINTAINED,INCOMPARABLE,YES,YES,Ampliar o orçamento para o programa de combate à tuberculose,Focar no Amazonas como projeto-piloto para a erradicação da tuberculose,NO,FAVOR,FAVOR,False,False,True,ERROR_TO_CORRECT,False
3459768d16f576e5,Qwen/Qwen2.5-72B-Instruct,STANCE_MAINTAINED,STANCE_MAINTAINED,STANCE_MAINTAINED,STANCE_MAINTAINED,YES,YES,O saque-aniversário do FGTS deve ser mantido,O saque-aniversário do FGTS deve ser mantido e aprimorado,YES,FAVOR,FAVOR,True,True,True,CORRECT_TO_CORRECT,False
36e4b11ff6345a11,Qwen/Qwen2.5-72B-Instruct,INCOMPARABLE,INCOMPARABLE,STANCE_MAINTAINED,INCOMPARABLE,YES,YES,Reconstrução do sistema de saúde e retomada do diálogo com entes federados,Reconstrução dos espaços de participação social e retomada de investimentos em políticas sociais,NO,FAVOR,FAVOR,True,False,True,ERROR_TO_CORRECT,False
36fb1e1240a12ac4,Qwen/Qwen2.5-72B-Instruct,INCOMPARABLE,INCOMPARABLE,STANCE_MAINTAINED,INCOMPARABLE,YES,YES,Criar uma legislação específica do sistema prisional carcerário para as questões indígenas,Aprovar o Projeto de Lei 4347/21 para tornar permanente a Política Nacional de Gestão Territorial e Ambiental das Terras Indígenas,NO,FAVOR,FAVOR,True,False,True,ERROR_TO_CORRECT,False
4cffd4e8a3906c01,Qwen/Qwen2.5-72B-Instruct,INCOMPARABLE,INCOMPARABLE,STANCE_MAINTAINED,INCOMPARABLE,YES,YES,"O Poder Judiciário, especialmente o Supremo, deve evitar legislar e se limitar a julgar casos concretos.",As concessionárias de energia elétrica devem cumprir a lei e ser fiscalizadas de forma mais rigorosa.,NO,FAVOR,FAVOR,True,False,True,ERROR_TO_CORRECT,False
8f79764e69daadf2,Qwen/Qwen2.5-72B-Instruct,RELATION_UNCERTAIN,STANCE_MAINTAINED,INSUFFICIENT_EVIDENCE,INSUFFICIENT_EVIDENCE,NO,YES,,Políticas integrativas e transversais para o envelhecimento saudável,NO,UNCERTAIN,FAVOR,False,False,False,ERROR_TO_ERROR,False
