consensus_row,pair_id,duplicate_pair_id,source_integrity_status,content_matches_pair_ids,matched_original_packet,display_a_source_side,cp1252_control_repair_needed_for_source_check,stance_determinable_consensus_a,stance_determinable_consensus_b,target_proposition_consensus_a,target_proposition_consensus_b,same_proposition_consensus,stance_consensus_a,stance_consensus_b,derived_relation_consensus,derived_relation_annotator_1,derived_relation_annotator_2,consensus_equals_annotator_1_relation,consensus_equals_annotator_2_relation,consensus_notes_a,consensus_notes_b,consensus_comparability_notes
1,d4e87de87b4f3431,false,MATCH,,1|2,b,false,YES,YES,Foi adequada a contratação dessa empresa pelo Ministério da Saúde.,O Ministério verifica quem recebe diárias e passagens,NO,AGAINST,AGAINST,INCOMPARABLE,INCOMPARABLE,INCOMPARABLE,true,true,"A deputada se auto refere como ""rainha dos requerimentos""",O orador revela o seu partido,
2,d3769de977ace19d,false,MATCH,,1|2,a,true,YES,YES,O país deve destinar recursos para previnir desastres,Devem haver recursos específicos alocados para a prevenção de desastres,YES,FAVOR,FAVOR,STANCE_MAINTAINED,STANCE_MAINTAINED,STANCE_MAINTAINED,true,true,O orador se apresenta como autor da lei que abasteceu o fundo de calamidades,A fala revela o estado do orador fala e sua atuação pelo Fundo de Calamidade Pública,
3,263f772b51bf1354,false,MATCH,,2,a,true,YES,YES,O país deve planejar políticas públicas para o envelhecimento da população,Gestores municipais devem tratar a política para a pessoa idosa com mais importância.,UNCERTAIN,FAVOR,FAVOR,RELATION_UNCERTAIN,STANCE_MAINTAINED,RELATION_UNCERTAIN,false,true,O orador revela o próprio cargo,,"As duas falas parecem concordar, mas a B não indica nenhuma ação específica. Fica incerto se são a mesma proposição"
4,8f79764e69daadf2,false,MATCH,,2,b,true,YES,YES,O planejamento de políticas para o envelhecimento deve ser diferenciado entre as regiões do país.,A pauta da pessoa idosa deve ser uma prioridade para os gestores municipais,UNCERTAIN,FAVOR,FAVOR,RELATION_UNCERTAIN,STANCE_MAINTAINED,INCOMPARABLE,false,false,O orador menciona presidir uma reunião e se declara autor do requerimento,,"As duas falam sobre a importância de olhar para o envelhecimento da população, mas uma cobra prioridade dos gestores municipais e outra defende a preparação do país inteiro. Ficamos em dúvida se âmbitos diferentes contam como a mesma proposição ou não."
5,2a22c99d1d3a678c,false,MATCH,,2,a,true,YES,YES,Os pacientes diagnosticados com retinopatia diabética conseguem acompanhamento em tempo hábil pelo SUS,O SUS precisa atualizar a forma como acompanha quem tem edema macular diabético,NO,AGAINST,FAVOR,INCOMPARABLE,INCOMPARABLE,INCOMPARABLE,true,true,O orador conduz a audiência,"O orador menciona o próprio nome, Deputado Dr. Zacharias Calil","As duas falas criticam o atendimento do SUS, mas A trata da fila e B trata da atualização dos protocolos"
6,36e4b11ff6345a11,false,MATCH,,2,a,true,YES,YES,O Ministério da Saúde voltou a coordenar o SUS junto aos Estados e Municípios e a resposta foi positiva,O governo está reabrindo espaço pra sociedade participar das políticas públicas,NO,FAVOR,FAVOR,INCOMPARABLE,INCOMPARABLE,INCOMPARABLE,true,true,,,"Os dois oradores elogiam o governo atual, mas um pela volta da coordenação do SUS e o outro pela volta da participação social"
7,e001ebac1d8033f1,false,MATCH,,2,a,true,YES,YES,"Deve ser criado um sistema nacional de apoio a vítimas de desastres, integrado ao Sistema Nacional de Proteção e Defesa Civil.",O país precisa proteger os mais vulneráveis quando acontecem desastres,YES,FAVOR,FAVOR,STANCE_MAINTAINED,STANCE_MAINTAINED,STANCE_MAINTAINED,true,true,O orador conduz a audiência e fala que criou um auxílio emergencial em Salvador,O orador preside a reunião,"A fala A dá mais peso para a recuperação depois de tragédias, e a fala B trata da proteção de forma mais ampla, incluindo antes da tragédia acontecer"
8,af4d70f0c140e9c9,false,MATCH,,2,b,true,YES,YES,O país precisa regular as redes sociais pra frear o discurso de ódio,O orçamento federal deve destinar recursos específicos para prevenção da violência contra crianças e adolescentes.,NO,FAVOR,FAVOR,INCOMPARABLE,INCOMPARABLE,INCOMPARABLE,true,true,"A oradora revela a sua cidade e o seu primeiro nome, Ana Paula",O orador conduz a audiência,
9,e6a308550846aa5f,false,MATCH,,1|2,a,true,YES,YES,O Congresso deve criar um marco regulatório para a transição energética,Precisam haver critérios claros para a escolha de novos combustíveis não fósseis.,NO,FAVOR,FAVOR,INCOMPARABLE,INSUFFICIENT_EVIDENCE,INCOMPARABLE,false,true,O orador conduz a audiência,,
10,36fb1e1240a12ac4,false,MATCH,,1|2,a,true,YES,YES,Deve existir uma lei específica para pessoas indígenas presas,Presença do agronegócio e mineração em terras indígenas.,NO,FAVOR,AGAINST,INCOMPARABLE,INCOMPARABLE,INCOMPARABLE,true,true,,,Uma pede uma lei especial para indígenas presos e a outra pede orçamento para a gestão das terras indígenas
11,2e42e8583aea6939,false,MATCH,,2,b,true,YES,YES,O Brasil deve aumentar o orçamento para o combate à tuberculose,O Amazonas deve ser o estado piloto para reunir as ações contra a tuberculose,NO,FAVOR,FAVOR,INCOMPARABLE,INCOMPARABLE,INCOMPARABLE,true,true,O orador menciona que lidera o PSD na Câmara,"O orador revela o seu estado, seu partido e que já presidiu a Comissão de Saúde","As duas falas querem acabar com a tuberculose, mas uma defende o Amazonas como estado piloto e a outra defende mais dinheiro no orçamento"
12,de54c782d361768c,false,MATCH,,1|2,a,true,YES,YES,Políticas de independência econômica para mulheres vítimas de violência devem ser adotadas para interromper o ciclo da violência.,Deve ser criado um programa público focado na saúde das mulheres na menopausa,NO,FAVOR,FAVOR,INCOMPARABLE,INCOMPARABLE,INCOMPARABLE,true,true,"O orador menciona a sua trajetória política em Goiás (Secretária da Mulher de lá, prefeita e deputada estadual)",Quem fala revela que relata o PL 5.602 de 2019,
13,ebcdef50abd4418f,false,MATCH,,1|2,a,true,YES,YES,Deve haver um plano de proteção para mulheres e crianças indígenas,Precisam ser criados planos e conselhos para a população LGBTQIA+,NO,FAVOR,FAVOR,INCOMPARABLE,INCOMPARABLE,INCOMPARABLE,true,true,,,
14,24c599750bdd544f,false,MATCH,,2,a,false,YES,YES,O país deve ter uma lei para os mercados digitais sem criar mais burocracia,Precisam ser criadas novas regras para os mercados digitais para garantir a livre concorrência e proteção dos consumidores,YES,FAVOR,FAVOR,STANCE_MAINTAINED,INSUFFICIENT_EVIDENCE,STANCE_MAINTAINED,false,true,Ela preside a audiência e conta que é autora do requerimento PL 2.768,,
15,3459768d16f576e5,false,MATCH,,2,a,true,YES,YES,O governo deve acabar com o saque-aniversário do FGTS,O governo deve acabar com o saque-aniversário do FGTS,YES,AGAINST,AGAINST,STANCE_MAINTAINED,STANCE_MAINTAINED,STANCE_MAINTAINED,true,true,"O orador pede o tempo de Liderança, o que sugere que ele lidera uma bancada","Ele conta que é de Manaus, que foi capitão e policial e que é da oposição",
16,d4c07b40fb424a0c,false,MATCH,,1|2,a,true,YES,YES,A vacina contra a Covid-19 deve ser obrigatória para crianças de 6 meses a 5 anos,A vacina contra a Covid-19 deve ser obrigatória para crianças (não menciona idade diretamente),YES,AGAINST,AGAINST,STANCE_MAINTAINED,STANCE_MAINTAINED,STANCE_MAINTAINED,true,true,"Se auto identifica como a deputada Bia Kicis, porque mostra uma manchete com o próprio nome",,
