dataset,field,presence_count,example_type,possible_semantic_role
LDS,id,206,int,local dataset record ID; not official event ID
LDS,materia,206,str,article text and publication timestamp
LDS,metadados,206,dict,container/auxiliary metadata
LDS,metadados.assunto,206,str,LDS topic summary
LDS,metadados.envolvidos,206,list,container/auxiliary metadata
LDS,metadados.envolvidos[],206,dict,container/auxiliary metadata
LDS,metadados.envolvidos[].cargo,206,str,role/identity clue
LDS,metadados.envolvidos[].nome,206,str,LDS actor display name
LDS,metadados.envolvidos[].opinioes,206,list,container/auxiliary metadata
LDS,metadados.envolvidos[].opinioes[],206,str,"LDS opinion summary, not speech"
LDS,transcricao,206,str,transcript text
NLI,id,206,int,local dataset record ID; not official event ID
NLI,metadados_extraidos,206,dict,container/auxiliary metadata
NLI,metadados_extraidos.assunto,206,str,NLI topic summary
NLI,metadados_extraidos.envolvidos,206,list,container/auxiliary metadata
NLI,metadados_extraidos.envolvidos[],206,dict,container/auxiliary metadata
NLI,metadados_extraidos.envolvidos[].cargo,206,str,role/identity clue
NLI,metadados_extraidos.envolvidos[].nome,206,str,NLI actor display name
NLI,metadados_extraidos.envolvidos[].opinioes,206,list,container/auxiliary metadata
NLI,metadados_extraidos.envolvidos[].opinioes[],206,dict,container/auxiliary metadata
NLI,metadados_extraidos.envolvidos[].opinioes[].chunks_proximos,206,list,container/auxiliary metadata
NLI,metadados_extraidos.envolvidos[].opinioes[].chunks_proximos[],206,str,"candidate transcript evidence, unverified"
NLI,metadados_extraidos.envolvidos[].opinioes[].opiniao,206,str,NLI opinion summary
NLI,metadados_extraidos.envolvidos[].opinioes[].verificacao_alucinacao,206,dict,LLM hallucination check; not documentary proof
NLI,metadados_extraidos.envolvidos[].opinioes[].verificacao_alucinacao.prompt_1_deepseek-chat,206,dict,LLM hallucination check; not documentary proof
NLI,metadados_extraidos.envolvidos[].opinioes[].verificacao_alucinacao.prompt_1_deepseek-chat.alucinacao,206,bool,LLM hallucination check; not documentary proof
NLI,metadados_extraidos.envolvidos[].opinioes[].verificacao_alucinacao.prompt_1_deepseek-chat.explicacao,206,str,LLM hallucination check; not documentary proof
