id_audiencia,assunto_audiencia,nome,cargo,opiniao_limpa,filiacao_rede,proposicoes_audiencia,proposicao_alvo,postura_final
1,Acusações de censura contra Alexandre de Moraes por exigir bloqueio de contas na rede social X,Michael Shellenberger,Jornalista norte-americano,Acusou Alexandre de Moraes de censura ao solicitar o bloqueio de contas na rede social X.,SOCIEDADE/OUTROS,"Alexandre de Moraes cometeu censura ao exigir bloqueio de contas na rede social X sem aviso prévio, explicações ou devido processo legal. | Existe um “processo industrial de censura” e perseguição covarde contra desafetos do ministro, caracterizando censura prévia e violação de liberdades. | As decisões de remoção de conteúdo são genéricas, sigilosas e não obedecem ao Marco Civil da Internet, carecendo de fundamentação judicial adequada.","Alexandre de Moraes cometeu censura ao exigir bloqueio de contas na rede social X sem aviso prévio, explicações ou devido processo legal.",A FAVOR
1,Acusações de censura contra Alexandre de Moraes por exigir bloqueio de contas na rede social X,Michael Shellenberger,Jornalista norte-americano,Acusou Alexandre de Moraes de censura ao solicitar o bloqueio de contas na rede social X.,SOCIEDADE/OUTROS,"Alexandre de Moraes cometeu censura ao exigir bloqueio de contas na rede social X sem aviso prévio, explicações ou devido processo legal. | Existe um “processo industrial de censura” e perseguição covarde contra desafetos do ministro, caracterizando censura prévia e violação de liberdades. | As decisões de remoção de conteúdo são genéricas, sigilosas e não obedecem ao Marco Civil da Internet, carecendo de fundamentação judicial adequada.","Existe um “processo industrial de censura” e perseguição covarde contra desafetos do ministro, caracterizando censura prévia e violação de liberdades.",A FAVOR
1,Acusações de censura contra Alexandre de Moraes por exigir bloqueio de contas na rede social X,Michael Shellenberger,Jornalista norte-americano,Acusou Alexandre de Moraes de censura ao solicitar o bloqueio de contas na rede social X.,SOCIEDADE/OUTROS,"Alexandre de Moraes cometeu censura ao exigir bloqueio de contas na rede social X sem aviso prévio, explicações ou devido processo legal. | Existe um “processo industrial de censura” e perseguição covarde contra desafetos do ministro, caracterizando censura prévia e violação de liberdades. | As decisões de remoção de conteúdo são genéricas, sigilosas e não obedecem ao Marco Civil da Internet, carecendo de fundamentação judicial adequada.","As decisões de remoção de conteúdo são genéricas, sigilosas e não obedecem ao Marco Civil da Internet, carecendo de fundamentação judicial adequada.",A FAVOR
1,Acusações de censura contra Alexandre de Moraes por exigir bloqueio de contas na rede social X,Michael Shellenberger,Jornalista norte-americano,"Divulgou, no início do mês, um compilado de e-mails trocados por funcionários da plataforma X a respeito de decisões judiciais brasileiras que envolviam a rede social e investigações ao longo do período de 2020 a 2022. O caso ficou conhecido como Twitter Files Brasil",SOCIEDADE/OUTROS,"Alexandre de Moraes cometeu censura ao exigir bloqueio de contas na rede social X sem aviso prévio, explicações ou devido processo legal. | Existe um “processo industrial de censura” e perseguição covarde contra desafetos do ministro, caracterizando censura prévia e violação de liberdades. | As decisões de remoção de conteúdo são genéricas, sigilosas e não obedecem ao Marco Civil da Internet, carecendo de fundamentação judicial adequada.","Alexandre de Moraes cometeu censura ao exigir bloqueio de contas na rede social X sem aviso prévio, explicações ou devido processo legal.",NEUTRO
1,Acusações de censura contra Alexandre de Moraes por exigir bloqueio de contas na rede social X,Michael Shellenberger,Jornalista norte-americano,"Divulgou, no início do mês, um compilado de e-mails trocados por funcionários da plataforma X a respeito de decisões judiciais brasileiras que envolviam a rede social e investigações ao longo do período de 2020 a 2022. O caso ficou conhecido como Twitter Files Brasil",SOCIEDADE/OUTROS,"Alexandre de Moraes cometeu censura ao exigir bloqueio de contas na rede social X sem aviso prévio, explicações ou devido processo legal. | Existe um “processo industrial de censura” e perseguição covarde contra desafetos do ministro, caracterizando censura prévia e violação de liberdades. | As decisões de remoção de conteúdo são genéricas, sigilosas e não obedecem ao Marco Civil da Internet, carecendo de fundamentação judicial adequada.","Existe um “processo industrial de censura” e perseguição covarde contra desafetos do ministro, caracterizando censura prévia e violação de liberdades.",NEUTRO
1,Acusações de censura contra Alexandre de Moraes por exigir bloqueio de contas na rede social X,Michael Shellenberger,Jornalista norte-americano,"Divulgou, no início do mês, um compilado de e-mails trocados por funcionários da plataforma X a respeito de decisões judiciais brasileiras que envolviam a rede social e investigações ao longo do período de 2020 a 2022. O caso ficou conhecido como Twitter Files Brasil",SOCIEDADE/OUTROS,"Alexandre de Moraes cometeu censura ao exigir bloqueio de contas na rede social X sem aviso prévio, explicações ou devido processo legal. | Existe um “processo industrial de censura” e perseguição covarde contra desafetos do ministro, caracterizando censura prévia e violação de liberdades. | As decisões de remoção de conteúdo são genéricas, sigilosas e não obedecem ao Marco Civil da Internet, carecendo de fundamentação judicial adequada.","As decisões de remoção de conteúdo são genéricas, sigilosas e não obedecem ao Marco Civil da Internet, carecendo de fundamentação judicial adequada.",A FAVOR
1,Acusações de censura contra Alexandre de Moraes por exigir bloqueio de contas na rede social X,Michael Shellenberger,Jornalista norte-americano,"Defendeu a liberdade de expressão de forma ampla, incluindo o direito de nazistas e fascistas defenderem suas ideias: ""A gente quer debater e vencer as ideias ruins deles.""",SOCIEDADE/OUTROS,"Alexandre de Moraes cometeu censura ao exigir bloqueio de contas na rede social X sem aviso prévio, explicações ou devido processo legal. | Existe um “processo industrial de censura” e perseguição covarde contra desafetos do ministro, caracterizando censura prévia e violação de liberdades. | As decisões de remoção de conteúdo são genéricas, sigilosas e não obedecem ao Marco Civil da Internet, carecendo de fundamentação judicial adequada.","Alexandre de Moraes cometeu censura ao exigir bloqueio de contas na rede social X sem aviso prévio, explicações ou devido processo legal.",A FAVOR
1,Acusações de censura contra Alexandre de Moraes por exigir bloqueio de contas na rede social X,Michael Shellenberger,Jornalista norte-americano,"Defendeu a liberdade de expressão de forma ampla, incluindo o direito de nazistas e fascistas defenderem suas ideias: ""A gente quer debater e vencer as ideias ruins deles.""",SOCIEDADE/OUTROS,"Alexandre de Moraes cometeu censura ao exigir bloqueio de contas na rede social X sem aviso prévio, explicações ou devido processo legal. | Existe um “processo industrial de censura” e perseguição covarde contra desafetos do ministro, caracterizando censura prévia e violação de liberdades. | As decisões de remoção de conteúdo são genéricas, sigilosas e não obedecem ao Marco Civil da Internet, carecendo de fundamentação judicial adequada.","Existe um “processo industrial de censura” e perseguição covarde contra desafetos do ministro, caracterizando censura prévia e violação de liberdades.",A FAVOR
1,Acusações de censura contra Alexandre de Moraes por exigir bloqueio de contas na rede social X,Michael Shellenberger,Jornalista norte-americano,"Defendeu a liberdade de expressão de forma ampla, incluindo o direito de nazistas e fascistas defenderem suas ideias: ""A gente quer debater e vencer as ideias ruins deles.""",SOCIEDADE/OUTROS,"Alexandre de Moraes cometeu censura ao exigir bloqueio de contas na rede social X sem aviso prévio, explicações ou devido processo legal. | Existe um “processo industrial de censura” e perseguição covarde contra desafetos do ministro, caracterizando censura prévia e violação de liberdades. | As decisões de remoção de conteúdo são genéricas, sigilosas e não obedecem ao Marco Civil da Internet, carecendo de fundamentação judicial adequada.","As decisões de remoção de conteúdo são genéricas, sigilosas e não obedecem ao Marco Civil da Internet, carecendo de fundamentação judicial adequada.",A FAVOR
1,Acusações de censura contra Alexandre de Moraes por exigir bloqueio de contas na rede social X,Glenn Greenwald,"Jornalista norte-americano, colunista do jornal Folha de S. Paulo e fundador do site The Intercept","Acredita que Alexandre de Moraes agiu sem base legal ao exigir a remoção de postagens e o banimento de contas, inclusive de parlamentares.",SOCIEDADE/OUTROS,"Alexandre de Moraes cometeu censura ao exigir bloqueio de contas na rede social X sem aviso prévio, explicações ou devido processo legal. | Existe um “processo industrial de censura” e perseguição covarde contra desafetos do ministro, caracterizando censura prévia e violação de liberdades. | As decisões de remoção de conteúdo são genéricas, sigilosas e não obedecem ao Marco Civil da Internet, carecendo de fundamentação judicial adequada.","Alexandre de Moraes cometeu censura ao exigir bloqueio de contas na rede social X sem aviso prévio, explicações ou devido processo legal.",A FAVOR
1,Acusações de censura contra Alexandre de Moraes por exigir bloqueio de contas na rede social X,Glenn Greenwald,"Jornalista norte-americano, colunista do jornal Folha de S. Paulo e fundador do site The Intercept","Acredita que Alexandre de Moraes agiu sem base legal ao exigir a remoção de postagens e o banimento de contas, inclusive de parlamentares.",SOCIEDADE/OUTROS,"Alexandre de Moraes cometeu censura ao exigir bloqueio de contas na rede social X sem aviso prévio, explicações ou devido processo legal. | Existe um “processo industrial de censura” e perseguição covarde contra desafetos do ministro, caracterizando censura prévia e violação de liberdades. | As decisões de remoção de conteúdo são genéricas, sigilosas e não obedecem ao Marco Civil da Internet, carecendo de fundamentação judicial adequada.","Existe um “processo industrial de censura” e perseguição covarde contra desafetos do ministro, caracterizando censura prévia e violação de liberdades.",A FAVOR
1,Acusações de censura contra Alexandre de Moraes por exigir bloqueio de contas na rede social X,Glenn Greenwald,"Jornalista norte-americano, colunista do jornal Folha de S. Paulo e fundador do site The Intercept","Acredita que Alexandre de Moraes agiu sem base legal ao exigir a remoção de postagens e o banimento de contas, inclusive de parlamentares.",SOCIEDADE/OUTROS,"Alexandre de Moraes cometeu censura ao exigir bloqueio de contas na rede social X sem aviso prévio, explicações ou devido processo legal. | Existe um “processo industrial de censura” e perseguição covarde contra desafetos do ministro, caracterizando censura prévia e violação de liberdades. | As decisões de remoção de conteúdo são genéricas, sigilosas e não obedecem ao Marco Civil da Internet, carecendo de fundamentação judicial adequada.","As decisões de remoção de conteúdo são genéricas, sigilosas e não obedecem ao Marco Civil da Internet, carecendo de fundamentação judicial adequada.",A FAVOR
1,Acusações de censura contra Alexandre de Moraes por exigir bloqueio de contas na rede social X,Glenn Greenwald,"Jornalista norte-americano, colunista do jornal Folha de S. Paulo e fundador do site The Intercept",Afirmou que as pessoas não receberam aviso prévio do banimento nem explicações dos motivos.,SOCIEDADE/OUTROS,"Alexandre de Moraes cometeu censura ao exigir bloqueio de contas na rede social X sem aviso prévio, explicações ou devido processo legal. | Existe um “processo industrial de censura” e perseguição covarde contra desafetos do ministro, caracterizando censura prévia e violação de liberdades. | As decisões de remoção de conteúdo são genéricas, sigilosas e não obedecem ao Marco Civil da Internet, carecendo de fundamentação judicial adequada.","Alexandre de Moraes cometeu censura ao exigir bloqueio de contas na rede social X sem aviso prévio, explicações ou devido processo legal.",A FAVOR
1,Acusações de censura contra Alexandre de Moraes por exigir bloqueio de contas na rede social X,Glenn Greenwald,"Jornalista norte-americano, colunista do jornal Folha de S. Paulo e fundador do site The Intercept",Afirmou que as pessoas não receberam aviso prévio do banimento nem explicações dos motivos.,SOCIEDADE/OUTROS,"Alexandre de Moraes cometeu censura ao exigir bloqueio de contas na rede social X sem aviso prévio, explicações ou devido processo legal. | Existe um “processo industrial de censura” e perseguição covarde contra desafetos do ministro, caracterizando censura prévia e violação de liberdades. | As decisões de remoção de conteúdo são genéricas, sigilosas e não obedecem ao Marco Civil da Internet, carecendo de fundamentação judicial adequada.","Existe um “processo industrial de censura” e perseguição covarde contra desafetos do ministro, caracterizando censura prévia e violação de liberdades.",A FAVOR
1,Acusações de censura contra Alexandre de Moraes por exigir bloqueio de contas na rede social X,Glenn Greenwald,"Jornalista norte-americano, colunista do jornal Folha de S. Paulo e fundador do site The Intercept",Afirmou que as pessoas não receberam aviso prévio do banimento nem explicações dos motivos.,SOCIEDADE/OUTROS,"Alexandre de Moraes cometeu censura ao exigir bloqueio de contas na rede social X sem aviso prévio, explicações ou devido processo legal. | Existe um “processo industrial de censura” e perseguição covarde contra desafetos do ministro, caracterizando censura prévia e violação de liberdades. | As decisões de remoção de conteúdo são genéricas, sigilosas e não obedecem ao Marco Civil da Internet, carecendo de fundamentação judicial adequada.","As decisões de remoção de conteúdo são genéricas, sigilosas e não obedecem ao Marco Civil da Internet, carecendo de fundamentação judicial adequada.",A FAVOR
1,Acusações de censura contra Alexandre de Moraes por exigir bloqueio de contas na rede social X,Glenn Greenwald,"Jornalista norte-americano, colunista do jornal Folha de S. Paulo e fundador do site The Intercept",Acrescentou que essas ordens de banimento foram sigilosas e sem o devido processo legal.,SOCIEDADE/OUTROS,"Alexandre de Moraes cometeu censura ao exigir bloqueio de contas na rede social X sem aviso prévio, explicações ou devido processo legal. | Existe um “processo industrial de censura” e perseguição covarde contra desafetos do ministro, caracterizando censura prévia e violação de liberdades. | As decisões de remoção de conteúdo são genéricas, sigilosas e não obedecem ao Marco Civil da Internet, carecendo de fundamentação judicial adequada.","Alexandre de Moraes cometeu censura ao exigir bloqueio de contas na rede social X sem aviso prévio, explicações ou devido processo legal.",A FAVOR
1,Acusações de censura contra Alexandre de Moraes por exigir bloqueio de contas na rede social X,Glenn Greenwald,"Jornalista norte-americano, colunista do jornal Folha de S. Paulo e fundador do site The Intercept",Acrescentou que essas ordens de banimento foram sigilosas e sem o devido processo legal.,SOCIEDADE/OUTROS,"Alexandre de Moraes cometeu censura ao exigir bloqueio de contas na rede social X sem aviso prévio, explicações ou devido processo legal. | Existe um “processo industrial de censura” e perseguição covarde contra desafetos do ministro, caracterizando censura prévia e violação de liberdades. | As decisões de remoção de conteúdo são genéricas, sigilosas e não obedecem ao Marco Civil da Internet, carecendo de fundamentação judicial adequada.","Existe um “processo industrial de censura” e perseguição covarde contra desafetos do ministro, caracterizando censura prévia e violação de liberdades.",A FAVOR
1,Acusações de censura contra Alexandre de Moraes por exigir bloqueio de contas na rede social X,Glenn Greenwald,"Jornalista norte-americano, colunista do jornal Folha de S. Paulo e fundador do site The Intercept",Acrescentou que essas ordens de banimento foram sigilosas e sem o devido processo legal.,SOCIEDADE/OUTROS,"Alexandre de Moraes cometeu censura ao exigir bloqueio de contas na rede social X sem aviso prévio, explicações ou devido processo legal. | Existe um “processo industrial de censura” e perseguição covarde contra desafetos do ministro, caracterizando censura prévia e violação de liberdades. | As decisões de remoção de conteúdo são genéricas, sigilosas e não obedecem ao Marco Civil da Internet, carecendo de fundamentação judicial adequada.","As decisões de remoção de conteúdo são genéricas, sigilosas e não obedecem ao Marco Civil da Internet, carecendo de fundamentação judicial adequada.",A FAVOR
1,Acusações de censura contra Alexandre de Moraes por exigir bloqueio de contas na rede social X,Marcel Van Hattem,Deputado (Novo-RS),Destacou que foi um dos parlamentares alvo de pedidos de remoção de conteúdo em processo sigiloso e que vai solicitar o fim do sigilo.,NOVO,"Alexandre de Moraes cometeu censura ao exigir bloqueio de contas na rede social X sem aviso prévio, explicações ou devido processo legal. | Existe um “processo industrial de censura” e perseguição covarde contra desafetos do ministro, caracterizando censura prévia e violação de liberdades. | As decisões de remoção de conteúdo são genéricas, sigilosas e não obedecem ao Marco Civil da Internet, carecendo de fundamentação judicial adequada.","Alexandre de Moraes cometeu censura ao exigir bloqueio de contas na rede social X sem aviso prévio, explicações ou devido processo legal.",A FAVOR
1,Acusações de censura contra Alexandre de Moraes por exigir bloqueio de contas na rede social X,Marcel Van Hattem,Deputado (Novo-RS),Destacou que foi um dos parlamentares alvo de pedidos de remoção de conteúdo em processo sigiloso e que vai solicitar o fim do sigilo.,NOVO,"Alexandre de Moraes cometeu censura ao exigir bloqueio de contas na rede social X sem aviso prévio, explicações ou devido processo legal. | Existe um “processo industrial de censura” e perseguição covarde contra desafetos do ministro, caracterizando censura prévia e violação de liberdades. | As decisões de remoção de conteúdo são genéricas, sigilosas e não obedecem ao Marco Civil da Internet, carecendo de fundamentação judicial adequada.","Existe um “processo industrial de censura” e perseguição covarde contra desafetos do ministro, caracterizando censura prévia e violação de liberdades.",A FAVOR
1,Acusações de censura contra Alexandre de Moraes por exigir bloqueio de contas na rede social X,Marcel Van Hattem,Deputado (Novo-RS),Destacou que foi um dos parlamentares alvo de pedidos de remoção de conteúdo em processo sigiloso e que vai solicitar o fim do sigilo.,NOVO,"Alexandre de Moraes cometeu censura ao exigir bloqueio de contas na rede social X sem aviso prévio, explicações ou devido processo legal. | Existe um “processo industrial de censura” e perseguição covarde contra desafetos do ministro, caracterizando censura prévia e violação de liberdades. | As decisões de remoção de conteúdo são genéricas, sigilosas e não obedecem ao Marco Civil da Internet, carecendo de fundamentação judicial adequada.","As decisões de remoção de conteúdo são genéricas, sigilosas e não obedecem ao Marco Civil da Internet, carecendo de fundamentação judicial adequada.",A FAVOR
1,Acusações de censura contra Alexandre de Moraes por exigir bloqueio de contas na rede social X,Marcel Van Hattem,Deputado (Novo-RS),"Afirmou que está em curso ""um processo industrial de censura"" e de ""perseguição covarde contra desafetos"" do ministro Alexandre de Moraes.",NOVO,"Alexandre de Moraes cometeu censura ao exigir bloqueio de contas na rede social X sem aviso prévio, explicações ou devido processo legal. | Existe um “processo industrial de censura” e perseguição covarde contra desafetos do ministro, caracterizando censura prévia e violação de liberdades. | As decisões de remoção de conteúdo são genéricas, sigilosas e não obedecem ao Marco Civil da Internet, carecendo de fundamentação judicial adequada.","Alexandre de Moraes cometeu censura ao exigir bloqueio de contas na rede social X sem aviso prévio, explicações ou devido processo legal.",A FAVOR
1,Acusações de censura contra Alexandre de Moraes por exigir bloqueio de contas na rede social X,Marcel Van Hattem,Deputado (Novo-RS),"Afirmou que está em curso ""um processo industrial de censura"" e de ""perseguição covarde contra desafetos"" do ministro Alexandre de Moraes.",NOVO,"Alexandre de Moraes cometeu censura ao exigir bloqueio de contas na rede social X sem aviso prévio, explicações ou devido processo legal. | Existe um “processo industrial de censura” e perseguição covarde contra desafetos do ministro, caracterizando censura prévia e violação de liberdades. | As decisões de remoção de conteúdo são genéricas, sigilosas e não obedecem ao Marco Civil da Internet, carecendo de fundamentação judicial adequada.","Existe um “processo industrial de censura” e perseguição covarde contra desafetos do ministro, caracterizando censura prévia e violação de liberdades.",A FAVOR
1,Acusações de censura contra Alexandre de Moraes por exigir bloqueio de contas na rede social X,Marcel Van Hattem,Deputado (Novo-RS),"Afirmou que está em curso ""um processo industrial de censura"" e de ""perseguição covarde contra desafetos"" do ministro Alexandre de Moraes.",NOVO,"Alexandre de Moraes cometeu censura ao exigir bloqueio de contas na rede social X sem aviso prévio, explicações ou devido processo legal. | Existe um “processo industrial de censura” e perseguição covarde contra desafetos do ministro, caracterizando censura prévia e violação de liberdades. | As decisões de remoção de conteúdo são genéricas, sigilosas e não obedecem ao Marco Civil da Internet, carecendo de fundamentação judicial adequada.","As decisões de remoção de conteúdo são genéricas, sigilosas e não obedecem ao Marco Civil da Internet, carecendo de fundamentação judicial adequada.",A FAVOR
1,Acusações de censura contra Alexandre de Moraes por exigir bloqueio de contas na rede social X,Marcel Van Hattem,Deputado (Novo-RS),"""A censura não pode prevalecer, e a liberdade de expressão tem que ser regra, porque sem liberdade de expressão não há democracia, sem devido processo legal não há democracia.""",NOVO,"Alexandre de Moraes cometeu censura ao exigir bloqueio de contas na rede social X sem aviso prévio, explicações ou devido processo legal. | Existe um “processo industrial de censura” e perseguição covarde contra desafetos do ministro, caracterizando censura prévia e violação de liberdades. | As decisões de remoção de conteúdo são genéricas, sigilosas e não obedecem ao Marco Civil da Internet, carecendo de fundamentação judicial adequada.","Alexandre de Moraes cometeu censura ao exigir bloqueio de contas na rede social X sem aviso prévio, explicações ou devido processo legal.",A FAVOR
